Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte.peak.area,Internal.standard.peak.area,Sample mass
Group F-NIA-BIO-spike 2X,Spike,Homogenizer,Biota,NIA,PFHpA,9.86E+05,5.32E+05,1
Group F-NIA-BIO-bugs 20X,Sample,Pestle,Biota,NIA,PFHpA,2.78E+04,4.70E+05,0.158
Group F-NIA-BIO-sunfish 20X,Sample,Blender,Biota,NIA,PFHpA,9.40E+03,7.46E+05,1.2087
Group F-NIA-BIO-shrimp 20X,Sample,Homogenizer,Biota,NIA,PFHpA,6.20E+03,6.96E+05,1.05
Group F-NIA-BIO-grass hopper 20X,Sample,Pestle,Biota,NIA,PFHpA,4.68E+03,7.01E+05,0.271
Group F-NIA SUNFISH 2X,Sample,Blender,Biota,NIA,PFHpA,3.59E+03,9.27E+04,1.2087
Group F-NIA SHRIMP 2X,Sample,Homogenizer,Biota,NIA,PFHpA,3.61E+03,1.36E+05,1.05
Group F-NIA GRASSHOPPER 2X,Sample,Pestle,Biota,NIA,PFHpA,1.69E+03,1.11E+05,0.271
Group F-NIA BUGS 2X,Sample,Pestle,Biota,NIA,PFHpA,0.00E+00,6.97E+04,0.158
Group F-NIA-SED- lab blank 2X,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,2.71E+05,1
Group F-NIA-SED- field blank 2X,Blank,Field,Sediment,NIA,PFHpA,0.00E+00,1.97E+05,1
Group F-NIA-SED- spike 2X,Spike,Field,Sediment,NIA,PFHpA,6.89E+05,2.88E+05,1
Group F-NIA-SED-R1 20X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,2.96E+05,1.0847
Group F-NIA-SED-R2 20X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,3.15E+05,0.9392
Group F-NIA-SED-R3 20X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,2.82E+05,1.0715
Group F-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,8.00E+04,1.0847
Group F-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,8.22E+04,0.9392
Group F-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,7.19E+04,1.0715
Group D-NIA-SED-Field Blank 2X,Blank,Lab,Sediment,NIA,PFHpA,1.12E+04,7.75E+05,1
Group D-NIA-SED-Lab Blank 2X,Blank,Field,Sediment,NIA,PFHpA,7.90E+03,6.06E+05,1
Group D-NIA-SED-Spike 2X,Spike,Field,Sediment,NIA,PFHpA,1.77E+06,6.97E+05,1
Group D-NIA-SED-Sample 1 20X,Sample,Field,Sediment,NIA,PFHpA,8.67E+03,4.54E+05,1.0124
Group D-NIA-SED-Sample 2 20X,Sample,Field,Sediment,NIA,PFHpA,1.21E+04,6.36E+05,1.0011
Group D-NIA-SED-Sample 3 20X,Sample,Field,Sediment,NIA,PFHpA,9.81E+03,6.21E+05,1.0075
Group D-NIA SED1 2X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,1.65E+05,1.0124
Group D-NIA SED2 2X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,1.77E+05,1.0011
Group D-NIA SED3 2X,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,1.51E+05,1.0075
Group E-NIA-SED Field Blank 2x,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,5.97E+05,1
Group E-NIA-SED Lab Blank 2x,Blank,Field,Sediment,NIA,PFHpA,5.79E+03,4.84E+05,1
Group E-NIA-SED Spike 2x,Spike,Field,Sediment,NIA,PFHpA,1.86E+06,7.44E+05,1
Group E-NIA-SED R1 20x,Sample,Field,Sediment,NIA,PFHpA,1.73E+04,5.98E+05,1.0274
Group E-NIA-SED R2 20x,Sample,Field,Sediment,NIA,PFHpA,1.55E+04,6.70E+05,1.0543
Group E-NIA-SED R3 20x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,8.30E+05,1.0243
Group E-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFHpA,3.67E+04,2.36E+05,1.0274
Group E-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFHpA,3.14E+04,2.02E+05,1.0543
Group E-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFHpA,1.86E+04,2.23E+05,1.0243
0 ng/mL,Calibration curve,A,N/A,N/A,PFOA,0.00E+00,3.12E+05,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFOA,5.18E+04,5.01E+05,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFOA,1.12E+05,5.68E+05,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFOA,2.50E+05,5.53E+05,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFOA,5.05E+05,6.77E+05,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFOA,1.29E+06,6.38E+05,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFOA,3.31E+06,7.38E+05,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFOA,5.02E+06,7.21E+05,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFOA,8.54E+06,7.67E+05,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFOA,1.53E+07,8.87E+05,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFOA,0.00E+00,2.43E+05,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFOA,2.59E+04,2.44E+05,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFOA,5.59E+04,2.96E+05,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFOA,1.43E+05,2.99E+05,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFOA,2.60E+05,3.42E+05,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFOA,7.00E+05,3.51E+05,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFOA,1.50E+06,3.21E+05,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFOA,2.52E+06,3.46E+05,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFOA,4.52E+06,3.67E+05,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFOA,9.03E+06,4.35E+05,1
20MC water lab blank,Blank,Lab,Water,20MC,PFOA,5.39E+04,6.51E+05,1
20MC water field blank,Blank,Field,Water,20MC,PFOA,7.45E+04,6.30E+05,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFOA,1.57E+05,7.43E+05,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFOA,1.94E+05,6.35E+05,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFOA,1.49E+05,6.79E+05,100
20MC water spike 1,Spike,Field,Water,20MC,PFOA,6.67E+06,6.26E+05,1
20MC water spike 2,Spike,Field,Water,20MC,PFOA,5.99E+06,6.10E+05,1
20MC water spike 3,Spike,Field,Water,20MC,PFOA,5.66E+06,5.14E+05,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFOA,1.59E+05,7.06E+05,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFOA,2.27E+05,8.25E+05,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFOA,1.22E+05,2.75E+05,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFOA,9.49E+04,2.43E+05,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFOA,7.89E+04,1.77E+05,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFOA,1.42E+05,2.71E+05,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFOA,2.80E+05,4.51E+05,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFOA,2.50E+05,3.77E+05,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFOA,3.65E+04,4.45E+05,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFOA,8.19E+04,3.75E+05,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFOA,1.57E+05,5.17E+05,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFOA,3.84E+05,2.74E+05,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFOA,1.76E+05,1.38E+05,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFOA,8.08E+04,1.39E+05,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFOA,6.37E+04,1.36E+05,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFOA,7.42E+04,1.36E+05,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFOA,6.70E+04,1.39E+05,0.7033
20Mc-group C Biota spike,Spike,Pestle,Biota,20MC,PFOA,3.50E+05,1.46E+05,1
20Mc-group B Blender Blank,Blank,Blender,Biota,20MC,PFOA,1.03E+05,2.31E+05,1
20Mc-group B Mortar and Pestle Blank,Blank,Pestle,Biota,20MC,PFOA,1.01E+05,2.55E+05,1
20Mc-group B Homogenizer Blank,Blank,Homogenizer,Biota,20MC,PFOA,1.06E+05,2.60E+05,1
20Mc-group B Nymph,Sample,Homogenizer,Biota,20MC,PFOA,1.28E+05,2.62E+05,0.1089
20Mc-group B Giant Bug 1 ,Sample,Pestle,Biota,20MC,PFOA,1.26E+05,2.05E+05,0.9952
20Mc-group B Giant Bug 2,Sample,Pestle,Biota,20MC,PFOA,5.25E+04,8.07E+04,1.0105
20Mc-group B Catfish,Sample,Blender,Biota,20MC,PFOA,3.32E+04,2.92E+04,1.1823
20Mc-group B Biota Spike ,Spike,Homogenizer,Biota,20MC,PFOA,2.67E+05,1.11E+05,1
20Mc-group B Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFOA,9.79E+04,1.67E+05,1
20Mc-group B Sediment Field Blank,Blank,Field,Sediment,20MC,PFOA,9.35E+04,2.25E+05,1
20Mc-group B Sediment 2 Rep 1,Sample,Field,Sediment,20MC,PFOA,7.58E+04,1.41E+05,0.9918
20Mc-group B Sediment 2 Rep 2,Sample,Field,Sediment,20MC,PFOA,6.19E+04,1.04E+05,1.0064
20Mc-group B Sediment 2 Rep 3 ,Sample,Field,Sediment,20MC,PFOA,7.50E+04,8.94E+04,1.0641
20Mc-group B Sediment Spike,Spike,Lab,Sediment,20MC,PFOA,5.94E+05,1.43E+05,1
20MC Group A sed  Field blank,Blank,Lab,Sediment,20MC,PFOA,2.02E+05,3.87E+05,1
20MC Group A sed Lab blank,Blank,Field,Sediment,20MC,PFOA,2.68E+05,3.96E+05,1
20MC Group A sed R1,Sample,Field,Sediment,20MC,PFOA,1.57E+05,1.95E+05,1
20MC Group A sed R2,Sample,Field,Sediment,20MC,PFOA,5.66E+04,2.15E+05,0.9922
20MC Group A sed R3,Sample,Field,Sediment,20MC,PFOA,6.24E+04,1.76E+05,1.0233
20MC Group A sed spike,Spike,Lab,Sediment,20MC,PFOA,1.40E+06,3.67E+05,1
20Mc-group  C Sed Field Blank,Blank,Lab,Sediment,20MC,PFOA,1.77E+05,3.13E+05,1
20Mc-group C Sed Lab Blank,Blank,Field,Sediment,20MC,PFOA,2.01E+05,3.57E+05,1
20Mc-group C Sed 3-1,Sample,Field,Sediment,20MC,PFOA,7.39E+04,2.36E+05,0.8309
20Mc-group C Sed 3-2,Sample,Field,Sediment,20MC,PFOA,1.11E+05,2.09E+05,0.9147
20Mc-group C Sed 3-3,Sample,Field,Sediment,20MC,PFOA,8.44E+04,2.25E+05,1.0055
20Mc-group C Sed Spike,Spike,Lab,Sediment,20MC,PFOA,1.43E+06,3.02E+05,1
NIA water lab blank,Blank,Lab,Water,NIA,PFOA,4.81E+04,2.53E+05,1
NIA water field blank,Blank,Field,Water,NIA,PFOA,3.60E+04,2.62E+05,1
NIA water sample 2,Sample,Field,Water,NIA,PFOA,1.89E+05,2.37E+05,1
NIA water sample 4,Sample,Field,Water,NIA,PFOA,1.26E+05,2.27E+05,1
NIA water sample 5,Sample,Field,Water,NIA,PFOA,1.56E+05,2.10E+05,1
NIA water spike 4,Spike,Field,Water,NIA,PFOA,3.20E+06,2.17E+05,1
NIA water spike 5,Spike,Field,Water,NIA,PFOA,2.58E+06,2.41E+05,1
NIA water spike 6,Spike,Field,Water,NIA,PFOA,3.32E+06,2.26E+05,1
Group D-NIA-BIO-SUNFISH Blank-2X,Blank,Blender,Biota,NIA,PFOA,2.91E+04,6.62E+05,1
Group D-NIA-BIO-Motor Blank-2X,Blank,Pestle,Biota,NIA,PFOA,2.17E+05,5.41E+05,1
Group D-NIA-BIO-Spike-2X,Spike,Blender,Biota,NIA,PFOA,1.06E+06,4.70E+05,1
Group D-NIA-BIO-Crafish 20X,Sample,Pestle,Biota,NIA,PFOA,1.64E+05,4.36E+05,1.203
Group D-NIA-BIO-Lady Bug 20X,Sample,Pestle,Biota,NIA,PFOA,2.44E+04,5.30E+05,0.0305
Group D-NIA-BIO-Sunfish R1 20X,Sample,Blender,Biota,NIA,PFOA,3.85E+04,5.10E+05,0.9744
Group D-NIA-BIO-Sunfish R2 20X,Sample,Blender,Biota,NIA,PFOA,2.74E+04,4.10E+05,0.1095
Group D-NIA-BIO-Nymphs 20X,Sample,Pestle,Biota,NIA,PFOA,3.79E+04,4.45E+05,0.1419
Group D-NIA SUNFISH K1 2X,Sample,Blender,Biota,NIA,PFOA,1.69E+05,2.94E+05,0.1095
GROUP D-NIA CRAYFISH 2X ,Sample,Pestle,Biota,NIA,PFOA,4.92E+05,1.70E+05,1.203
Group D-NIA SUNFISH R2 2X,Sample,Blender,Biota,NIA,PFOA,8.50E+04,1.62E+05,0.1095
Group D-NIA NYMPTH 2X,Sample,Homogenizer,Biota,NIA,PFOA,1.90E+05,2.08E+05,0.1419
Group D-NIA LADY BUG 2X,Sample,Pestle,Biota,NIA,PFOA,9.62E+04,2.54E+05,0.0305
Group E-NIA-BIO-SHRIMP Blank 2x,Blank,Blender,Biota,NIA,PFOA,1.20E+05,4.52E+05,1
Group E-NIA-BIO-Blender Blank 2x,Blank,Blender,Biota,NIA,PFOA,1.44E+05,4.83E+05,1
Group E-NIA-BIO-Motor Blank 2x,Blank,Pestle,Biota,NIA,PFOA,1.40E+05,4.62E+05,1
Group E-NIA-BIO-Spike 2x,Spike,Pestle,Biota,NIA,PFOA,6.71E+05,2.61E+05,1
Group E-NIA-BIO-DRAGON 20x,Sample,Pestle,Biota,NIA,PFOA,1.81E+04,1.03E+06,0.5559
Group E-NIA-BIO-SHRIMP 1 R1 20x,Sample,Homogenizer,Biota,NIA,PFOA,1.13E+05,9.71E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 20x,Sample,Homogenizer,Biota,NIA,PFOA,2.14E+04,9.41E+05,0.99
Group E-NIA-BIO-CATFISH 20x,Sample,Blender,Biota,NIA,PFOA,1.59E+04,2.94E+05,1.219
Group E-NIA-BIO-SHRIMP 1 R1 2x,Sample,Homogenizer,Biota,NIA,PFOA,3.98E+05,6.03E+05,1.05
Group E-NIA-BIO-SHRIMP 1 R2 2x,Sample,Homogenizer,Biota,NIA,PFOA,3.33E+05,3.92E+05,0.99
Group E-NIA-BIO-DRAGON 2x,Sample,Pestle,Biota,NIA,PFOA,2.30E+05,4.05E+05,0.5559
Group E-NIA-BIO-CATFISH 2x,Sample,Blender,Biota,NIA,PFOA,1.45E+05,3.41E+05,1.219
Group F-NIA-BIO-bugs blank 2X,Blank,Pestle,Biota,NIA,PFOA,8.96E+04,2.48E+05,1
Group F-NIA-BIO-sunfish blank 2X,Blank,Blender,Biota,NIA,PFOA,5.74E+04,2.51E+05,1
Group F-NIA-BIO-shrimp blank 2X,Blank,Homogenizer,Biota,NIA,PFOA,1.00E+05,2.24E+05,1
Group F-NIA-BIO-spike 2X,Spike,Homogenizer,Biota,NIA,PFOA,1.43E+06,5.32E+05,1
Group F-NIA-BIO-bugs 20X,Sample,Pestle,Biota,NIA,PFOA,5.72E+04,4.70E+05,0.158
Group F-NIA-BIO-sunfish 20X,Sample,Blender,Biota,NIA,PFOA,7.14E+04,7.46E+05,1.2087
Group F-NIA-BIO-shrimp 20X,Sample,Homogenizer,Biota,NIA,PFOA,7.58E+04,6.96E+05,1.05
Group F-NIA-BIO-grass hopper 20X,Sample,Pestle,Biota,NIA,PFOA,2.08E+04,7.01E+05,0.271
Group F-NIA SUNFISH 2X,Sample,Blender,Biota,NIA,PFOA,7.08E+04,9.27E+04,1.2087
Group F-NIA SHRIMP 2X,Sample,Homogenizer,Biota,NIA,PFOA,1.00E+05,1.36E+05,1.05
Group F-NIA GRASSHOPPER 2X,Sample,Pestle,Biota,NIA,PFOA,3.07E+04,1.11E+05,0.271
Group F-NIA BUGS 2X,Sample,Pestle,Biota,NIA,PFOA,4.87E+04,6.97E+04,0.158
Group F-NIA-SED- lab blank 2X,Blank,Lab,Sediment,NIA,PFOA,2.03E+05,2.71E+05,1
Group F-NIA-SED- field blank 2X,Blank,Field,Sediment,NIA,PFOA,1.34E+05,1.97E+05,1
Group F-NIA-SED- spike 2X,Spike,Field,Sediment,NIA,PFOA,1.08E+06,2.88E+05,1
Group F-NIA-SED-R1 20X,Sample,Field,Sediment,NIA,PFOA,2.91E+04,2.96E+05,1.0847
Group F-NIA-SED-R2 20X,Sample,Field,Sediment,NIA,PFOA,2.59E+04,3.15E+05,0.9392
Group F-NIA-SED-R3 20X,Sample,Field,Sediment,NIA,PFOA,2.19E+04,2.82E+05,1.0715
Group F-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFOA,6.89E+04,8.00E+04,1.0847
Group F-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFOA,6.35E+04,8.22E+04,0.9392
Group F-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFOA,5.68E+04,7.19E+04,1.0715
Group D-NIA-SED-Field Blank 2X,Blank,Lab,Sediment,NIA,PFOA,3.58E+05,7.75E+05,1
Group D-NIA-SED-Lab Blank 2X,Blank,Field,Sediment,NIA,PFOA,3.26E+05,6.06E+05,1
Group D-NIA-SED-Spike 2X,Spike,Field,Sediment,NIA,PFOA,2.26E+06,6.97E+05,1
Group D-NIA-SED-Sample 1 20X,Sample,Field,Sediment,NIA,PFOA,3.45E+04,4.54E+05,1.0124
Group D-NIA-SED-Sample 2 20X,Sample,Field,Sediment,NIA,PFOA,4.55E+04,6.36E+05,1.0011
Group D-NIA-SED-Sample 3 20X,Sample,Field,Sediment,NIA,PFOA,4.11E+04,6.21E+05,1.0075
Group D-NIA SED1 2X,Sample,Field,Sediment,NIA,PFOA,9.64E+04,1.65E+05,1.0124
Group D-NIA SED2 2X,Sample,Field,Sediment,NIA,PFOA,1.06E+05,1.77E+05,1.0011
Group D-NIA SED3 2X,Sample,Field,Sediment,NIA,PFOA,8.34E+04,1.51E+05,1.0075
Group E-NIA-SED Field Blank 2x,Blank,Lab,Sediment,NIA,PFOA,3.26E+05,5.97E+05,1
Group E-NIA-SED Lab Blank 2x,Blank,Field,Sediment,NIA,PFOA,3.84E+05,4.84E+05,1
Group E-NIA-SED Spike 2x,Spike,Field,Sediment,NIA,PFOA,3.07E+06,7.44E+05,1
Group E-NIA-SED R1 20x,Sample,Field,Sediment,NIA,PFOA,8.44E+04,5.98E+05,1.0274
Group E-NIA-SED R2 20x,Sample,Field,Sediment,NIA,PFOA,6.79E+04,6.70E+05,1.0543
Group E-NIA-SED R3 20x,Sample,Field,Sediment,NIA,PFOA,9.05E+04,8.30E+05,1.0243
Group E-NIA-SED R1 2x,Sample,Field,Sediment,NIA,PFOA,2.13E+05,2.36E+05,1.0274
Group E-NIA-SED R2 2x,Sample,Field,Sediment,NIA,PFOA,3.17E+05,2.02E+05,1.0543
Group E-NIA-SED R3 2x,Sample,Field,Sediment,NIA,PFOA,2.00E+05,2.23E+05,1.0243
0 ng/mL,Calibration curve,A,N/A,N/A,PFNA,0.00E+00,3.36E+05,1
0.1 ng/mL,Calibration curve,A,N/A,N/A,PFNA,4.17E+04,4.38E+05,1
0.2 ng/mL,Calibration curve,A,N/A,N/A,PFNA,8.59E+04,4.51E+05,1
0.5 ng/mL,Calibration curve,A,N/A,N/A,PFNA,2.41E+05,4.82E+05,1
1 ng/mL,Calibration curve,A,N/A,N/A,PFNA,4.42E+05,5.54E+05,1
2 ng/mL,Calibration curve,A,N/A,N/A,PFNA,1.16E+06,5.80E+05,1
5 ng/mL,Calibration curve,A,N/A,N/A,PFNA,2.72E+06,5.58E+05,1
10 ng/mL,Calibration curve,A,N/A,N/A,PFNA,4.00E+06,5.66E+05,1
20 ng/mL,Calibration curve,A,N/A,N/A,PFNA,7.26E+06,5.74E+05,1
50 ng/mL,Calibration curve,A,N/A,N/A,PFNA,1.31E+07,4.07E+05,1
0 ng/mL,Calibration curve,B,N/A,N/A,PFNA,0.00E+00,3.23E+05,1
0.1 ng/mL,Calibration curve,B,N/A,N/A,PFNA,2.59E+04,3.06E+05,1
0.2 ng/mL,Calibration curve,B,N/A,N/A,PFNA,5.50E+04,3.46E+05,1
0.5 ng/mL,Calibration curve,B,N/A,N/A,PFNA,1.39E+05,3.58E+05,1
1 ng/mL,Calibration curve,B,N/A,N/A,PFNA,2.58E+05,3.58E+05,1
2 ng/mL,Calibration curve,B,N/A,N/A,PFNA,7.18E+05,3.75E+05,1
5 ng/mL,Calibration curve,B,N/A,N/A,PFNA,1.80E+06,3.84E+05,1
10 ng/mL,Calibration curve,B,N/A,N/A,PFNA,2.59E+06,3.52E+05,1
20 ng/mL,Calibration curve,B,N/A,N/A,PFNA,4.50E+06,3.30E+05,1
50 ng/mL,Calibration curve,B,N/A,N/A,PFNA,8.81E+06,2.54E+05,1
20MC water lab blank,Blank,Lab,Water,20MC,PFNA,0.00E+00,5.38E+05,1
20MC water field blank,Blank,Field,Water,20MC,PFNA,0.00E+00,5.45E+05,1
20MC water bottle 4 sample 1,Sample,Field,Water,20MC,PFNA,2.08E+04,6.07E+05,100
20MC water bottle 4 sample 2,Sample,Field,Water,20MC,PFNA,2.39E+04,6.10E+05,100
20MC water bottle 4 sample 3,Sample,Field,Water,20MC,PFNA,1.62E+04,5.90E+05,100
20MC water spike 1,Spike,Field,Water,20MC,PFNA,5.30E+06,5.13E+05,1
20MC water spike 2,Spike,Field,Water,20MC,PFNA,4.41E+06,4.93E+05,1
20MC water spike 3,Spike,Field,Water,20MC,PFNA,4.48E+06,4.22E+05,1
20MC Group A blender blank,Blank,Blender,Biota,20MC,PFNA,0.00E+00,7.30E+05,1
20MC Group A mortas and pestle Blank,Blank,Pestle,Biota,20MC,PFNA,0.00E+00,8.06E+05,1
20MC Group A catfish 1,Sample,Blender,Biota,20MC,PFNA,7.79E+04,7.33E+05,1.0617
20MC Group A catfish 2,Sample,Blender,Biota,20MC,PFNA,1.13E+05,6.72E+05,1.4491
20MC Group A catfish 3,Sample,Blender,Biota,20MC,PFNA,8.56E+04,4.57E+05,1.3189
20MC Goup A yellow perch,Sample,Blender,Biota,20MC,PFNA,8.01E+04,4.55E+05,1.6576
20MC Group A beetle,Sample,Pestle,Biota,20MC,PFNA,4.14E+04,4.74E+05,1.0617
20MC GroupA biota spike,Spike,Blender,Biota,20MC,PFNA,2.32E+05,4.31E+05,1
20MC Group A boatmen,Sample,Pestle,Biota,20MC,PFNA,2.71E+04,4.48E+05,0.2888
20Mc-group C Biota mortar pestle blank,Blank,Pestle,Biota,20MC,PFNA,0.00E+00,4.23E+05,1
Group C-20MC-BIO-Blender Blank 2x,Blank,Blender,Biota,20MC,PFNA,5.25E+03,4.62E+05,1
20Mc-group C Biota crawfish 1,Sample,Pestle,Biota,20MC,PFNA,2.19E+05,2.83E+05,1.0688
20Mc-group C Biota crawfish 2,Sample,Pestle,Biota,20MC,PFNA,1.34E+05,2.33E+05,1.4043
20Mc-group C Biota sunfish 1,Sample,Blender,Biota,20MC,PFNA,7.95E+04,2.22E+05,0.9163
20 MC-group C Biota sunfish 2,Sample,Blender,Biota,20MC,PFNA,9.18E+04,2.18E+05,0.9769
20Mc-group C Biota sunfish 3,Sample,Blender,Biota,20MC,PFNA,7.06E+04,2.12E+05,1.036
20Mc-group C Biota waterbug 1,Sample,Pestle,Biota,20MC,PFNA,2.27E+04,2.19E+05,0.7033
20Mc-group C Biota spike,Spike,Pestle,Biota,20MC,PFNA,4.56E+05,2.24E+05,1
20Mc-group B Blender Blank,Blank,Blender,Biota,20MC,PFNA,0.00E+00,2.84E+05,1
20Mc-group B Mortar and Pestle Blank,Blank,Pestle,Biota,20MC,PFNA,0.00E+00,3.31E+05,1
20Mc-group B Homogenizer Blank,Blank,Homogenizer,Biota,20MC,PFNA,0.00E+00,3.47E+05,1
20Mc-group B Nymph,Sample,Homogenizer,Biota,20MC,PFNA,0.00E+00,2.97E+05,0.1089
20Mc-group B Giant Bug 1 ,Sample,Pestle,Biota,20MC,PFNA,1.49E+05,2.48E+05,0.9952
20Mc-group B Giant Bug 2,Sample,Pestle,Biota,20MC,PFNA,8.29E+04,1.63E+05,1.0105
20Mc-group B Catfish,Sample,Blender,Biota,20MC,PFNA,3.15E+04,9.61E+04,1.1823
20Mc-group B Biota Spike ,Spike,Homogenizer,Biota,20MC,PFNA,3.65E+05,1.75E+05,1
20Mc-group B Sediment Lab Blank,Blank,Lab,Sediment,20MC,PFNA,0.00E+00,2.14E+05,1
20Mc-group B Sediment Field Blank,Blank,Field,Sediment,20MC,PFNA,0.00E+00,3.00E+05,1
20Mc-group B Sediment 2 Rep 1,Sample,Field,Sediment,20MC,PFNA,1.76E+04,1.93E+05,0.9918
20Mc-group B Sediment 2 Rep 2,Sample,Field,Sediment,20MC,PFNA,1.39E+04,1.57E+05,1.0064
20Mc-group B Sediment 2 Rep 3 ,Sample,Field,Sediment,20MC,PFNA,1.57E+04,1.41E+05,1.0641
20Mc-group B Sediment Spike,Spike,Lab,Sediment,20MC,PFNA,6.71E+05,2.24E+05,1
20MC Group A sed  Field blank,Blank,Lab,Sediment,20MC,PFNA,0.00E+00,3.79E+05,1
20MC Group A sed Lab blank,Blank,Field,Sediment,20MC,PFNA,0.00E+00,4.41E+05,1
20MC Group A sed R1,Sample,Field,Sediment,20MC,PFNA,0.00E+00,2.42E+05,1
20MC Group A sed R2,Sample,Field,Sediment,20MC,PFNA,0.00E+00,2.46E+05,0.9922
20MC Group A sed R3,Sample,Field,Sediment,20MC,PFNA,0.00E+00,2.31E+05,1.0233
20MC Group A sed spike,Spike,Lab,Sediment,20MC,PFNA,1.22E+06,3.87E+05,1
20Mc-group  C Sed Field Blank,Blank,Lab,Sediment,20MC,PFNA,0.00E+00,3.30E+05,1
20Mc-group C Sed Lab Blank,Blank,Field,Sediment,20MC,PFNA,0.00E+00,3.75E+05,1
20Mc-group C Sed 3-1,Sample,Field,Sediment,20MC,PFNA,0.00E+00,2.81E+05,0.8309
20Mc-group C Sed 3-2,Sample,Field,Sediment,20MC,PFNA,0.00E+00,2.37E+05,0.9147
20Mc-group C Sed 3-3,Sample,Field,Sediment,20MC,PFNA,0.00E+00,3.15E+05,1.0055
20Mc-group C Sed Spike,Spike,Lab,Sediment,20MC,PFNA,1.40E+06,3.32E+05,1
NIA water lab blank,Blank,Lab,Water,NIA,PFNA,1.71E+04,2.77E+05,1
NIA water field blank,Blank,Field,Water,NIA,PFNA,0.00E+00,2.57E+05,1
NIA water sample 2,Sample,Field,Water,NIA,PFNA,5.83E+04,2.64E+05,1
NIA water sample 4,Sample,Field,Water,NIA,PFNA,5.05E+04,2.94E+05,1
NIA water sample 5,Sample,Field,Water,NIA,PFNA,4.80E+04,2.57E+05,1
NIA water spike 4,Spike,Field,Water,NIA,PFNA,2.81E+06,1.85E+05,1
NIA water spike 5,Spike,Field,Water,NIA,PFNA,2.23E+06,2.78E+05,1
