Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Normalization factor
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.73E+05,2.66,2.19E+04,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.29E+05,2.66,2.23E+04,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.02E+06,2.65,2.12E+04,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.77E+06,2.64,1.91E+04,1
NIA-S-GE-lab blank 1,Blank,Lab,Sediment,NIA,PFOA,1.07E+03,2.65,3.79E+03,1
NIA-S-GE-lab blank 2,Blank,Lab,Sediment,NIA,PFOA,5.62E+02,2.65,4.92E+03,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFOA,8.40E+02,2.66,4.43E+03,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFOA,1.57E+03,2.67,9.52E+03,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFOA,2.42E+04,2.66,3.16E+03,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFOA,3.76E+04,2.66,4.88E+03,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFOA,4.44E+02,2.68,4.08E+03,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFOA,1.17E+03,2.66,4.27E+03,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFOA,1.72E+03,2.63,3.92E+03,1
NIA-B-GE- homogen blank,Blank,Homogenizer,Biota,NIA,PFOA,1.93E+03,2.63,1.15E+04,1
NIA-B-GE- blender blank,Blank,Blender ,Biota,NIA,PFOA,1.78E+02,2.65,3.11E+03,1
NIA-B-GE- spike 1,Spike,Homogenizer,Biota,NIA,PFOA,8.16E+04,2.66,9.19E+03,1
NIA-B-GE- spike 2,Spike,Blender ,Biota,NIA,PFOA,1.26E+04,2.66,3.60E+03,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFOA,2.17E+03,2.66,1.08E+04,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFOA,2.10E+03,2.64,7.22E+03,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFOA,1.59E+03,2.68,6.12E+03,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFOA,7.32E+02,2.67,4.61E+03,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFOA,9.56E+02,2.63,4.08E+03,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFOA,4.58E+02,2.66,4.96E+03,0.7441
NIA-B-GF- pestle blank,Blank,Pestle,Biota,NIA,PFOA,1.17E+03,2.66,6.83E+03,1
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFOA,7.47E+02,2.67,1.34E+04,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFOA,7.31E+04,2.66,1.18E+04,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFOA,5.53E+03,2.66,8.41E+03,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFOA,6.56E+03,2.65,6.83E+03,1.0872
NIA-B-GF-crayfish 3,Sample,Pestle,Biota,NIA,PFOA,4.84E+03,2.65,9.08E+03,1.0251
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFOA,1.87E+03,2.65,4.99E+03,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFOA,1.14E+03,2.62,4.85E+03,0.9781
NIA-B-GF-sunfish 3,Sample,Blender ,Biota,NIA,PFOA,9.44E+02,2.6,4.93E+03,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFOA,0.00E+00,0,6.67E+03,1
NIA-B-GD-spike ,Spike,Lab,Biota,NIA,PFOA,1.31E+04,2.65,5.16E+03,1
NIA-B-GD-shrimp 1,Sample,Homogenizer,Biota,NIA,PFOA,2.44E+03,2.66,5.06E+03,0.8227
NIA-B-GD-shrimp 2,Sample,Homogenizer,Biota,NIA,PFOA,2.65E+03,2.67,4.84E+03,0.5472
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFOA,2.15E+03,2.63,4.70E+03,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFOA,0.00E+00,0,8.00E+03,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFOA,1.45E+03,2.65,9.10E+03,0.51
NIA-B-GD-catfish 1 (20x),Sample,Blender ,Biota,NIA,PFOA,5.41E+02,2.66,3.07E+03,1
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFOA,0.00E+00,0,4.19E+03,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFOA,1.08E+03,2.68,2.60E+03,1
20MC-W-field blank,Blank,Field,Water,20MC,PFNA,0.00E+00,0,3.03E+05,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFNA,9.37E+03,2.79,2.24E+05,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFNA,1.95E+06,2.79,2.20E+05,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFNA,2.22E+06,2.8,2.11E+05,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFNA,6.52E+03,2.77,1.68E+05,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFNA,1.92E+04,2.8,1.44E+05,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFNA,1.05E+04,2.8,1.37E+05,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFNA,3.19E+04,2.78,1.48E+05,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFNA,6.05E+03,2.81,1.25E+05,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFNA,1.35E+04,2.81,1.51E+05,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFNA,1.21E+06,2.79,1.04E+05,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFNA,9.33E+05,2.79,8.15E+04,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFNA,1.77E+04,2.78,7.00E+04,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFNA,4.52E+04,2.78,6.51E+04,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFNA,1.44E+04,2.79,6.00E+04,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFNA,8.37E+02,2.79,1.12E+04,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFNA,7.77E+03,2.78,5.14E+04,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFNA,3.63E+03,2.79,4.02E+04,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFNA,5.16E+03,2.78,3.65E+04,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFNA,0.00E+00,0,3.90E+03,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFNA,1.82E+03,2.78,2.97E+04,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFNA,4.92E+03,2.78,2.84E+04,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFNA,4.74E+04,2.77,6.64E+03,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFNA,0.00E+00,0,2.27E+04,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFNA,0.00E+00,0,1.83E+04,1.0831
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFNA,0.00E+00,0,1.18E+04,1.0827
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFNA,9.24E+02,2.78,1.79E+04,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFNA,1.54E+03,2.75,1.85E+04,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFNA,1.90E+03,2.76,6.71E+03,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFNA,1.30E+05,2.78,2.93E+04,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFNA,1.26E+03,2.78,2.03E+04,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFNA,3.26E+03,2.76,1.22E+04,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFNA,1.31E+03,2.79,1.09E+04,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFNA,7.23E+02,2.79,5.80E+03,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFNA,6.07E+02,2.77,6.23E+03,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFNA,2.17E+03,2.78,6.65E+03,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFNA,2.30E+03,2.77,6.61E+03,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFNA,2.61E+03,2.78,6.49E+03,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFNA,3.51E+03,2.77,7.83E+03,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFNA,2.22E+03,2.75,1.15E+04,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFNA,0.00E+00,0,6.04E+03,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFNA,0.00E+00,0,4.38E+03,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFNA,2.16E+03,2.77,9.62E+03,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFNA,6.44E+04,2.78,8.27E+03,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFNA,2.08E+03,2.76,8.94E+03,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFNA,0.00E+00,0,8.76E+03,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFNA,2.26E+03,2.8,7.84E+03,1.1744
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFNA,1.51E+03,2.8,6.41E+03,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFNA,1.60E+03,2.79,6.74E+03,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,0.00E+00,0,8.68E+03,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.93E+03,2.8,1.15E+04,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,5.92E+03,2.77,1.23E+04,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.63E+04,2.77,1.32E+04,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,4.10E+04,2.78,1.44E+04,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,7.07E+04,2.77,1.35E+04,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.86E+05,2.77,1.50E+04,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,3.73E+05,2.78,1.66E+04,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,6.34E+05,2.76,1.25E+04,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFNA,1.24E+06,2.78,9.17E+03,1
NIA-S-GE-lab blank 1,Blank,Lab,Sediment,NIA,PFNA,3.29E+02,2.77,2.37E+03,1
NIA-S-GE-lab blank 2,Blank,Lab,Sediment,NIA,PFNA,3.42E+02,2.78,2.54E+03,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFNA,1.12E+02,2.78,3.68E+03,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFNA,5.85E+02,2.78,9.19E+03,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFNA,2.76E+04,2.77,2.89E+03,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFNA,4.80E+04,2.79,6.39E+03,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,2.44E+03,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFNA,0.00E+00,0,3.70E+03,1
NIA-S-GE-sample 3,Sample,Field,Sediment,NIA,PFNA,6.24E+02,2.78,4.42E+03,1
NIA-B-GE- homogen blank,Blank,Homogenizer,Biota,NIA,PFNA,0.00E+00,0,7.37E+03,1
NIA-B-GE- blender blank,Blank,Blender ,Biota,NIA,PFNA,0.00E+00,0,1.97E+03,1
NIA-B-GE- spike 1,Spike,Homogenizer,Biota,NIA,PFNA,6.66E+04,2.76,8.16E+03,1
NIA-B-GE- spike 2,Spike,Blender ,Biota,NIA,PFNA,1.33E+04,2.79,2.69E+03,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFNA,1.76E+03,2.81,8.55E+03,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFNA,2.26E+03,2.8,7.19E+03,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFNA,1.09E+03,2.81,7.36E+03,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFNA,5.40E+02,2.74,5.31E+03,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFNA,2.37E+03,2.78,4.19E+03,0.856
NIA-B-GE- catfish 3 (20x),Sample,Blender ,Biota,NIA,PFNA,1.40E+03,2.74,5.49E+03,0.7441
NIA-B-GF- pestle blank,Blank,Pestle,Biota,NIA,PFNA,2.42E+03,2.79,8.01E+03,1
NIA-B-GF- blender blank,Blank,Blender ,Biota,NIA,PFNA,2.66E+03,2.77,9.52E+03,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFNA,5.91E+04,2.77,9.28E+03,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFNA,1.92E+03,2.8,7.01E+03,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFNA,3.95E+03,2.79,6.02E+03,1.0872
NIA-B-GF-crayfish 3,Sample,Pestle,Biota,NIA,PFNA,3.56E+03,2.79,7.91E+03,1.0251
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFNA,3.43E+03,2.76,2.84E+03,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFNA,2.35E+03,2.79,2.11E+03,0.9781
NIA-B-GF-sunfish 3,Sample,Blender ,Biota,NIA,PFNA,2.26E+03,2.8,2.82E+03,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFNA,3.33E+02,2.78,6.24E+03,1
NIA-B-GD-spike ,Spike,Lab,Biota,NIA,PFNA,1.89E+04,2.78,4.75E+03,1
NIA-B-GD-shrimp 1,Sample,Homogenizer,Biota,NIA,PFNA,6.50E+03,2.8,4.04E+03,0.8227
NIA-B-GD-shrimp 2,Sample,Homogenizer,Biota,NIA,PFNA,2.61E+03,2.77,4.23E+03,0.5472
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFNA,4.58E+03,2.75,2.86E+03,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFNA,0.00E+00,0,5.86E+03,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFNA,1.75E+02,2.74,6.00E+03,0.51
NIA-B-GD-catfish 1 (20x),Sample,Blender ,Biota,NIA,PFNA,0.00E+00,0,2.81E+03,1
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFNA,0.00E+00,0,6.37E+03,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFNA,2.01E+03,2.81,2.45E+03,1
20MC-W-field blank,Blank,Field,Water,20MC,PFDA,5.83E+03,2.96,2.47E+05,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFDA,4.03E+03,2.93,1.24E+05,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFDA,1.14E+06,2.94,2.16E+05,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFDA,1.48E+06,2.94,2.03E+05,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFDA,1.41E+04,2.93,1.40E+05,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFDA,0.00E+00,0,1.15E+05,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFDA,8.26E+03,2.93,1.18E+05,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFDA,2.51E+04,2.93,1.25E+05,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFDA,1.17E+04,2.93,1.09E+05,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFDA,9.35E+03,2.94,1.36E+05,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFDA,1.01E+06,2.94,1.16E+05,1
NIA-W-spike 2,Spike,Field,Water,NIA,PFDA,6.14E+05,2.93,8.92E+04,1
NIA-W-sample 1,Sample,Field,Water,NIA,PFDA,2.34E+03,2.95,6.57E+04,100
NIA-W-sample 2,Sample,Field,Water,NIA,PFDA,1.85E+04,2.93,5.33E+04,100
NIA-W-sample 3,Sample,Field,Water,NIA,PFDA,0.00E+00,0,5.23E+04,100
20MC-S-GA-field blank,Blank,Field,Sediment,20MC,PFDA,0.00E+00,0,1.15E+04,1
20MC-S-GA-sample 1,Sample,Field,Sediment,20MC,PFDA,3.89E+03,2.91,2.79E+04,1.0121
20MC-S-GA-sample 2,Sample,Field,Sediment,20MC,PFDA,2.48E+03,2.91,1.61E+04,1.053
20MC-S-GA-sample 3,Sample,Field,Sediment,20MC,PFDA,4.42E+03,2.91,1.96E+04,1.0155
20MC-S-GA-sample A2-1,Sample,Field,Sediment,20MC,PFDA,0.00E+00,0,4.96E+03,0.9904
20MC-S-GC-lab blank,Blank,Lab,Sediment,20MC,PFDA,6.84E+02,2.92,1.76E+04,1
20MC-S-GC-field blank,Blank,Field,Sediment,20MC,PFDA,3.73E+03,2.92,1.61E+04,1
20MC-S-GC-spike,Spike,Field,Sediment,20MC,PFDA,2.72E+04,2.92,3.84E+03,1
20MC-S-GC-sample 1,Sample,Field,Sediment,20MC,PFDA,3.09E+03,2.95,1.69E+04,1.0141
20MC-S-GC-sample 2,Sample,Field,Sediment,20MC,PFDA,1.20E+03,2.94,1.53E+04,1.0831
20MC-S-GC-sample 3,Sample,Field,Sediment,20MC,PFDA,2.08E+03,2.94,7.84E+03,1.0827
20MC-B-GA-snail 1,Sample,Homogenizer,Biota,20MC,PFDA,0.00E+00,0,1.76E+04,0.6301
20MC-B-GA-snail 2,Sample,Homogenizer,Biota,20MC,PFDA,0.00E+00,0,1.53E+04,0.7424
20MC-B-GB-lab blank,Blank,Lab,Biota,20MC,PFDA,0.00E+00,0,4.36E+03,1
20MC-B-GB-spike,Spike,Pestle,Biota,20MC,PFDA,8.98E+04,2.93,1.74E+04,1
20MC-B-GB-roach 2,Sample,Pestle,Biota,20MC,PFDA,2.36E+03,2.95,1.33E+04,0.6256
20MC-B-GB-roach 3,Sample,Pestle,Biota,20MC,PFDA,1.54E+03,2.91,1.05E+04,0.7145
20MC-B-GB-roach 4,Sample,Pestle,Biota,20MC,PFDA,1.13E+03,2.92,1.00E+04,0.8094
20MC-B-GB-roach 5,Sample,Pestle,Biota,20MC,PFDA,1.32E+03,2.92,6.10E+03,0.7467
20MC-B-GB-stickbug,Sample,Pestle,Biota,20MC,PFDA,4.68E+02,2.9,4.49E+03,0.1968
20MC-B-GB-sunfish 2,Sample,Blender ,Biota,20MC,PFDA,2.69E+03,2.91,5.19E+03,0.7269
20MC-B-GB-sunfish 3,Sample,Blender ,Biota,20MC,PFDA,4.42E+03,2.92,5.76E+03,0.804
20MC-B-GB-soft 1,Sample,Homogenizer,Biota,20MC,PFDA,1.35E+03,2.93,5.82E+03,0.643
20MC-B-GB-soft 2,Sample,Homogenizer,Biota,20MC,PFDA,1.30E+03,2.92,7.69E+03,0.8031
20MC-B-GB-soft 3,Sample,Homogenizer,Biota,20MC,PFDA,8.40E+02,2.92,7.94E+03,0.5117
20MC-B-GC-lab blank,Blank,Lab,Biota,20MC,PFDA,2.10E+02,2.92,5.48E+03,1
20MC-B-GC-pestle blank 1,Blank,Pestle,Biota,20MC,PFDA,0.00E+00,0,2.76E+03,1
20MC-B-GC-pestle blank 2,Blank,Pestle,Biota,20MC,PFDA,0.00E+00,0,1.11E+04,1
20MC-B-GC-spike,Spike,Pestle,Biota,20MC,PFDA,4.06E+04,2.93,6.17E+03,1
20MC-B-GC-catfish 1,Sample,Blender ,Biota,20MC,PFDA,1.01E+03,2.92,5.50E+03,0.6004
20MC-B-GC-catfish 2,Sample,Blender ,Biota,20MC,PFDA,3.02E+03,2.92,7.16E+03,1.0468
20MC-B-GC-catfish 3,Sample,Blender ,Biota,20MC,PFDA,2.62E+03,2.9,6.40E+03,1.1744
20MC-B-GC-crayfish 1,Sample,Pestle,Biota,20MC,PFDA,7.45E+02,2.89,5.46E+03,1
20MC-B-GC-crayfish 2,Sample,Pestle,Biota,20MC,PFDA,5.74E+02,2.89,6.82E+03,1
20MC-B-GC-crayfish 3,Sample,Pestle,Biota,20MC,PFDA,2.76E+02,2.92,3.04E+03,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,0.00E+00,0,1.01E+04,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.16E+03,2.95,1.09E+04,1
0.4 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.07E+03,2.91,9.88E+03,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.14E+04,2.91,1.02E+04,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,2.66E+04,2.93,1.33E+04,1
4 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,5.44E+04,2.92,1.19E+04,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.45E+05,2.93,1.30E+04,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,3.01E+05,2.92,1.49E+04,1
40 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,5.58E+05,2.93,1.43E+04,1
100 ng/mL,Calibration curve,Lab,N/A,N/A,PFDA,1.04E+06,2.91,1.22E+04,1
NIA-S-GE-lab blank 1,Blank,Lab,Sediment,NIA,PFDA,0.00E+00,0,2.17E+03,1
NIA-S-GE-lab blank 2,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,1.82E+03,1
NIA-S-GE-field blank 1,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,1.39E+03,1
NIA-S-GE-field blank 2,Blank,Field,Sediment,NIA,PFDA,0.00E+00,0,5.80E+03,1
NIA-S-GE-spike 1,Spike,Field,Sediment,NIA,PFDA,1.12E+04,2.94,1.68E+03,1
NIA-S-GE-spike 2,Spike,Field,Sediment,NIA,PFDA,2.57E+04,2.91,5.18E+03,1
NIA-S-GE-sample 1,Sample,Field,Sediment,NIA,PFDA,6.09E+01,2.9,2.50E+03,1
NIA-S-GE-sample 2 ,Sample,Field,Sediment,NIA,PFDA,1.76E+02,2.92,2.19E+03,1
NIA-S-GE-sample 3,Sample,Homogenizer,Sediment,NIA,PFDA,0.00E+00,0,1.68E+03,1
NIA-B-GE- homogen blank,Blank,Blender ,Biota,NIA,PFDA,0.00E+00,0,5.64E+03,1
NIA-B-GE- blender blank,Blank,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,8.47E+02,1
NIA-B-GE- spike 1,Spike,Blender ,Biota,NIA,PFDA,5.62E+04,2.93,7.02E+03,1
NIA-B-GE- spike 2,Spike,Blender ,Biota,NIA,PFDA,5.90E+03,2.93,1.10E+03,1
NIA-B-GE- catfish 1,Sample,Blender ,Biota,NIA,PFDA,1.73E+03,2.95,9.17E+03,0.8545
NIA-B-GE- catfish 2,Sample,Blender ,Biota,NIA,PFDA,1.88E+03,2.92,6.12E+03,0.856
NIA-B-GE- catfish 3,Sample,Blender ,Biota,NIA,PFDA,1.35E+03,2.92,5.35E+03,0.7441
NIA-B-GE- catfish 1 (20x),Sample,Blender ,Biota,NIA,PFDA,0.00E+00,0,3.83E+03,0.8545
NIA-B-GE- catfish 2 (20x),Sample,Blender ,Biota,NIA,PFDA,3.64E+02,2.9,1.96E+03,0.856
NIA-B-GE- catfish 3 (20x),Sample,Pestle,Biota,NIA,PFDA,1.66E+02,2.92,3.00E+03,0.7441
NIA-B-GF- pestle blank,Blank,Blender ,Biota,NIA,PFDA,0.00E+00,0,6.48E+03,1
NIA-B-GF- blender blank,Blank,Pestle,Biota,NIA,PFDA,3.78E+02,2.94,1.05E+04,1
NIA-B-GF-spike,Spike,Pestle,Biota,NIA,PFDA,2.55E+04,2.91,9.65E+03,1
NIA-B-GF-crayfish 1,Sample,Pestle,Biota,NIA,PFDA,3.12E+03,2.93,5.56E+03,1.0505
NIA-B-GF-crayfish 2,Sample,Pestle,Biota,NIA,PFDA,1.05E+03,2.92,4.73E+03,1.0872
NIA-B-GF-crayfish 3,Sample,Blender ,Biota,NIA,PFDA,4.80E+02,2.89,6.18E+03,1.0251
NIA-B-GF-sunfish 1,Sample,Blender ,Biota,NIA,PFDA,7.51E+03,2.93,2.40E+03,0.9148
NIA-B-GF-sunfish 2,Sample,Blender ,Biota,NIA,PFDA,4.04E+03,2.91,3.74E+03,0.9781
NIA-B-GF-sunfish 3,Sample,Lab,Biota,NIA,PFDA,4.00E+03,2.94,3.69E+03,0.9652
NIA-B-GD-lab blank,Blank,Lab,Biota,NIA,PFDA,1.95E+02,2.94,3.84E+03,1
NIA-B-GD-spike ,Spike,Homogenizer,Biota,NIA,PFDA,2.19E+04,2.9,2.94E+03,1
NIA-B-GD-shrimp 2,Sample,Homogenizer,Biota,NIA,PFDA,7.51E+02,2.93,3.86E+03,0.5472
NIA-B-GD-shrimp 3,Sample,Homogenizer,Biota,NIA,PFDA,1.07E+03,2.9,3.38E+03,0.9024
NIA-B-GD-snail 1,Sample,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,5.01E+03,0.7
NIA-B-GD-snail 2,Sample,Homogenizer,Biota,NIA,PFDA,0.00E+00,0,4.74E+03,0.51
NIA-B-GD-catfish 1 (20x),Sample,Blender ,Biota,NIA,PFDA,3.21E+02,2.89,2.35E+03,1
NIA-B-GD-catfish 2 (20x),Sample,Blender ,Biota,NIA,PFDA,8.49E+02,2.89,4.07E+03,1
NIA-B-GD-catfish 1,Sample,Blender ,Biota,NIA,PFDA,2.77E+03,2.9,1.76E+03,1
20MC-W-field blank,Blank,Field,Water,20MC,PFHxS,0.00E+00,0,1.39E+04,1
20MC-W-lab blank,Blank,Lab,Water,20MC,PFHxS,0.00E+00,0,3.59E+03,1
20MC-W-spike 1,Spike,Field,Water,20MC,PFHxS,1.46E+05,2.54,8.69E+03,1
20MC-W-spike 2,Spike,Field,Water,20MC,PFHxS,1.43E+05,2.56,9.88E+03,1
20MC-W-sample 1,Sample,Field,Water,20MC,PFHxS,0.00E+00,0,3.28E+03,100
20MC-W-sample 2,Sample,Field,Water,20MC,PFHxS,0.00E+00,0,1.93E+03,100
 20MC-W-sample 3,Sample,Field,Water,20MC,PFHxS,0.00E+00,0,7.21E+03,100
NIA-W- field blank 1,Blank,Field,Water,NIA,PFHxS,0.00E+00,0,1.86E+03,1
 NIA-W- field blank 2,Blank,Field,Water,NIA,PFHxS,0.00E+00,0,5.00E+03,1
NIA-W- lab blank,Blank,Lab,Water,NIA,PFHxS,0.00E+00,0,6.40E+03,1
NIA-W-spike 1,Spike,Field,Water,NIA,PFHxS,8.78E+04,2.54,6.34E+03,1
