Sample name,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time,Internal standard peak area,Normalization factor
20MC snail Grp B rep 2,Sample,Blender,Biota,20MC,PFHpA,8.79E+03,3,3.93E+05,1.1286
20MC snail Grp B rep 3,Sample,Blender,Biota,20MC,PFHpA,9.76E+03,3,3.82E+05,1.0855
20MC sunfish Grp B rep 1,Sample,Blender,Biota,20MC,PFHpA,9.14E+03,3.01,3.42E+05,1.0472
20MC sunfish Grp B rep 2,Sample,Blender,Biota,20MC,PFHpA,1.28E+04,3.01,4.40E+05,1.0903
20MC sunfish Grp B rep 3,Sample,Blender,Biota,20MC,PFHpA,4.90E+03,3.03,2.92E+05,1.023
20MC Catfish 2 blender blk Grp C ,Blank,Blender,Biota,20MC,PFHpA,6.42E+03,3.04,8.71E+05,1
20MC Catfish 2 Grp C rep 1,Sample,Blender,Biota,20MC,PFHpA,9.86E+03,2.97,8.97E+05,1.086
20MC Catfish 2 Grp C rep 2,Sample,Blender,Biota,20MC,PFHpA,7.78E+03,3,9.18E+05,1.0618
20MC Catfish 2 Grp C rep 3,Sample,Blender,Biota,20MC,PFHpA,9.60E+03,2.96,7.03E+05,1.0268
20MC Crayfish Grp C blank,Blank,Blender,Biota,20MC,PFHpA,5.47E+03,2.99,6.97E+05,1
20MC Crayfish Grp C rep 1,Sample,Blender,Biota,20MC,PFHpA,8.67E+03,3.03,1.16E+06,1.0985
20MC Crayfish Grp C rep 2,Sample,Blender,Biota,20MC,PFHpA,1.24E+04,2.98,0.00E+00,1.0701
20MC Crayfish Grp C rep 3,Sample,Blender,Biota,20MC,PFHpA,1.04E+04,2.97,1.21E+06,0.719
20MC Homogenizer blk Grp C,Blank,Homogenizer,Biota,20MC,PFHpA,5.03E+03,3.05,9.02E+05,1
20MC Mayfly Grp C rep 1,Sample,Homogenizer,Biota,20MC,PFHpA,7.62E+03,3.03,9.34E+05,0.2434
20MC Mayfly Grp C rep 2,Sample,Homogenizer,Biota,20MC,PFHpA,6.87E+03,3.02,1.06E+06,0.2421
20MC Mayfly Grp C rep 3,Sample,Homogenizer,Biota,20MC,PFHpA,6.78E+03,3.05,1.09E+06,0.1754
20MC Mortar and Pestle blk Grp A,Blank,Pestle,Biota,20MC,PFHpA,6.99E+03,3.04,1.05E+06,1
20MC Beetle Grp A,Sample,Pestle,Biota,20MC,PFHpA,6.04E+03,2.99,3.00E+05,0.3872
20MC Stick bug Grp A,Sample,Pestle,Biota,20MC,PFHpA,1.52E+04,2.98,7.40E+05,0.2556
20MC Minnow Grp A rep 1,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,2.62,4.13E+05,1.085
20MC Minnow Grp A rep 2,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,2.32,4.22E+05,0.9924
20MC Minnow Grp A rep 3,Sample,Blender,Biota,20MC,PFHpA,0.00E+00,0,2.43E+05,1.012
NIA Blender Blk Grp D 2x dil,Blank,Blender,Biota,NIA,PFHpA,1.02E+04,3.04,1.13E+06,1
NIA Catfish 1-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.43E+06,0.811
NIA Catfish 1-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.30E+06,0.8655
NIA Catfish 1-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,4.81E+03,3.01,1.44E+06,0.9952
NIA Sunfish 2-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.11E+06,0.998
NIA Sunfish 2-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.43E+06,1.3837
NIA Sunfish 2-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.12E+06,1.1401
NIA Homogenizer Blk Grp D 2x dil,Blank,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.51E+06,1
NIA Damselfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,9.44E+05,1.0018
NIA Damselfly 2 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHpA,3.66E+03,3.04,8.76E+05,0.4005
NIA Dragonfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.01E+06,0.352
NIA Mortar and Pestle Blk Grp E 2x dil,Blank,Pestle,Biota,NIA,PFHpA,0.00E+00,0,1.16E+06,1
NIA Catfish Blk Grp E 2x dil,Blank,Blender,Biota,NIA,PFHpA,0.00E+00,0,9.58E+05,1
NIA Whirlygig 1 Grp E 20x dil,Sample,Pestle,Biota,NIA,PFHpA,7.68E+03,3.02,1.37E+06,0.3269
NIA Catfish 2-1 Grp E 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,9.83E+05,0.9985
NIA Catfish 2-2 Grp E 20x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.09E+06,0.8517
NIA Snail Grp E 20x dil,Sample,Homogenizer,Biota,NIA,PFHpA,5.99E+03,3.01,9.76E+05,1.5217
NIA Damselfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHpA,5.68E+03,3.01,1.01E+06,0.4005
NIA Damselfly 2 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,8.72E+05,0.352
NIA Dragonfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFHpA,5.18E+03,3.04,8.29E+05,1.0018
NIA Catfish 1-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,6.73E+05,0.811
NIA Catfish 1-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,6.83E+05,0.8655
NIA Catfish 1-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,4.06E+05,0.9952
NIA Sunfish 2-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,3.51E+05,0.998
NIA Sunfish 2-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,5.24E+05,1.3837
NIA Sunfish 2-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,4.40E+05,1.1401
NIA Whirlygig 1 Grp E 2x dil,Sample,Pestle,Biota,NIA,PFHpA,0.00E+00,0,4.55E+05,0.3269
NIA Catfish 2-1 Grp E 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,3.53E+05,0.9985
NIA Catfish 2-2 Grp E 2x dil,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,4.05E+05,0.8517
NIA Snail Grp E 2x dil,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,2.61E+05,1.5217
20MC Sed 2 Grp A lab blk,Blank,Lab,Sediment,,PFHpA,4.28E+03,3.02,5.14E+05,1
20MC Sed 2 Grp A field blk,Blank,Field,Sediment,20MC,PFHpA,1.74E+03,3.05,2.88E+05,1
20MC Sed 2 Grp A rep 1,Sample,Field,Sediment,20MC,PFHpA,6.78E+03,3.05,3.58E+05,0.9946
20MC Sed 2 Grp A rep 2,Sample,Field,Sediment,20MC,PFHpA,5.77E+03,2.97,3.80E+05,1.0023
20MC Sed 2 Grp A rep 3,Sample,Field,Sediment,20MC,PFHpA,4.88E+03,3.01,3.09E+05,0.9943
20MC Sed 3 Grp C lab blk,Blank,Lab,Sediment,20MC,PFHpA,1.99E+03,3.04,4.20E+05,1
20MC Sed 3 Grp C field blk,Blank,Field,Sediment,20MC,PFHpA,4.06E+03,3.02,1.82E+05,1
20MC Sed 3 Grp C rep 1,Sample,Field,Sediment,20MC,PFHpA,7.83E+03,3.03,3.22E+05,0.9937
20MC Sed 3 Grp C rep 2,Sample,Field,Sediment,20MC,PFHpA,1.10E+04,3.02,3.04E+05,1.0376
20MC Sed 3 Grp C rep 3,Sample,Field,Sediment,20MC,PFHpA,7.98E+03,3.01,3.35E+05,1.0013
20MC Sed 1 Grp B method blk,Blank,Lab,Sediment,20MC,PFHpA,2.28E+03,3.05,1.15E+05,1
20MC Sed 1 Grp B field blk,Blank,Field,Sediment,20MC,PFHpA,4.04E+03,3.04,5.88E+05,1
20MC Sed 1 Grp B rep 1,Sample,Field,Sediment,20MC,PFHpA,7.50E+03,3.03,1.14E+05,0.9924
20MC Sed 1 Grp B rep 2,Sample,Field,Sediment,20MC,PFHpA,4.08E+03,3.06,9.94E+04,0.9884
20MC Sed 1 Grp B rep 3,Sample,Field,Sediment,20MC,PFHpA,5.56E+03,3.02,1.02E+05,1.0116
NIA Sed 2 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFHpA,1.63E+03,3.04,4.31E+05,1
NIA Sed 2 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFHpA,1.97E+03,3.04,4.71E+05,1
NIA Sed 2 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFHpA,4.52E+03,3.02,6.67E+05,1.0192
NIA Sed 2 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFHpA,4.46E+03,3.04,6.64E+05,1.0085
NIA Sed 2 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFHpA,6.25E+03,3,7.65E+05,1.0256
NIA HMBK Grp F 2x dil,Blank,Lab,Sediment,NIA,PFHpA,4.16E+03,3.04,7.30E+05,1
NIA BDBK Grp F 2x dil,Blank,Field,Sediment,NIA,PFHpA,4.87E+03,3.02,8.59E+05,1
NIA Sed 3 Grp F method blk 2x dil,Blank,Lab,Sediment,NIA,PFHpA,4.00E+03,3.01,7.91E+05,1
NIA Sed 3 Grp F field blk 2x dil,Blank,Field,Sediment,NIA,PFHpA,4.64E+03,3.03,8.48E+05,1
NIA Sed 3 Grp F rep 1 20x dil,Sample,Field,Sediment,NIA,PFHpA,6.20E+03,3.03,8.53E+05,1
NIA Sed 3 Grp F rep 2 20x dil,Sample,Field,Sediment,NIA,PFHpA,6.28E+03,3.02,7.14E+05,1.0103
NIA Sed 3 Grp F rep 3 20x dil,Sample,Field,Sediment,NIA,PFHpA,6.65E+03,3,1.03E+06,1.0548
NIA Sed 1 Grp E method blk 2x dil,Blank,Lab,Sediment,NIA,PFHpA,3.87E+03,3.02,9.92E+05,1
NIA Sed 1 Grp E field blk 2x dil,Blank,Field,Sediment,NIA,PFHpA,4.26E+03,2.99,8.26E+05,1
NIA Sed 1 Grp E rep 1 20x dil,Sample,Field,Sediment,NIA,PFHpA,5.43E+03,3.04,9.34E+05,1.0081
NIA Sed 1 Grp E rep 2 20x dil,Sample,Field,Sediment,NIA,PFHpA,5.02E+03,3.01,9.88E+05,0.9999
NIA Sed 1 Grp E rep 3 20x dil,Sample,Field,Sediment,NIA,PFHpA,5.27E+03,3,8.82E+05,1.0080
NIA Sed 3 rep 1 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,3.4,6.02E+05,1
NIA Sed 3 rep 2 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,4.43E+05,1.0103
NIA Sed 3 rep 3 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,3.49,4.07E+05,1.0548
NIA Sed 1 rep 1 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,3.68E+05,1.0081
NIA Sed 1 rep 2 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,3.63E+05,0.9999
NIA Sed 1 rep 3 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,3.18E+05,1.0080
NIA Sed 2 Grp F rep 1 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,3.05E+05,1.0192
NIA Sed 2 Grp F rep 2 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,2.70E+05,1.0085
NIA Sed 2 Grp F rep 3 2x dil,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,2.76E+05,1.0256
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.65E+04,3.18,4.68E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,7.72E+04,3.2,5.59E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,7.62E+04,3.19,5.74E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.71E+05,3.17,4.70E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.82E+05,3.18,4.49E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,7.55E+05,3.19,5.29E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.59E+06,3.16,5.18E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.86E+06,3.16,1.41E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.34E+06,3.19,5.37E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.76E+03,3.17,3.11E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.24E+04,3.17,3.59E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.32E+04,3.18,3.53E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.04E+05,3.14,3.29E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.85E+05,3.18,3.58E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.62E+05,3.18,3.82E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.27E+06,3.17,3.57E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.81E+06,3.17,1.02E+06,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.44E+06,3.18,3.84E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,6.42E+06,3.18,4.31E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,0.00E+00,0,9.03E+04,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,9.02E+03,3.17,1.29E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.18E+04,3.15,1.55E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,5.61E+04,3.14,2.03E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.10E+05,3.15,1.93E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.92E+05,3.16,2.31E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,7.10E+05,3.16,2.24E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.22E+06,3.16,7.84E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,2.04E+06,3.16,2.58E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,4.05E+06,3.15,2.79E+05,1
0 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,8.44E+03,3.15,2.31E+05,1
0.1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.19E+04,3.15,2.86E+05,1
0.2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.41E+04,3.15,2.58E+05,1
0.5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,8.20E+04,3.14,2.63E+05,1
1 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.55E+05,3.13,2.60E+05,1
2 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.56E+05,3.15,3.28E+05,1
5 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,9.36E+05,3.14,3.25E+05,1
10 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,1.25E+06,3.12,7.35E+05,1
20 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,3.06E+06,3.15,3.53E+05,1
50 ng/mL,Calibration curve,Lab,N/A,N/A,PFOA,4.89E+06,3.14,2.81E+05,1
20MC water ext 1 lab blank,Blank,Lab,Water,20MC,PFOA,2.67E+04,3.18,4.89E+05,1
20MC water ext 1 field blank,Blank,Field,Water,20MC,PFOA,1.96E+04,3.17,3.99E+05,1
20MC water ext 1 rep 1,Sample,Field,Water,20MC,PFOA,6.67E+04,3.18,5.59E+05,100
20MC water ext 1 rep 2,Sample,Field,Water,20MC,PFOA,5.35E+04,3.21,5.16E+05,100
20MC water ext 1 rep 3,Sample,Field,Water,20MC,PFOA,6.17E+04,3.18,4.29E+05,100
20MC water ext 2 lab blank,Blank,Lab,Water,20MC,PFOA,2.14E+04,3.14,3.37E+05,1
20MC water ext 2 field blank,Blank,Field,Water,20MC,PFOA,3.60E+04,3.16,4.05E+05,1
20MC water ext 2 rep 1,Sample,Field,Water,20MC,PFOA,6.44E+04,3.19,5.60E+05,100
20MC water ext 2 rep 2,Sample,Field,Water,20MC,PFOA,7.94E+04,3.18,5.43E+05,100
20MC water ext 2 rep 3,Sample,Field,Water,20MC,PFOA,8.99E+04,3.19,4.37E+05,100
NIA water ext Grp E lab blank,Blank,Lab,Water,NIA,PFOA,1.87E+04,3.18,1.68E+06,1
NIA water ext Grp E Field blank,Blank,Field,Water,NIA,PFOA,1.69E+04,3.19,1.57E+06,1
NIA water ext Grp E rep 1,Sample,Field,Water,NIA,PFOA,3.21E+05,3.17,1.72E+06,100
NIA water ext Grp E rep 2,Sample,Field,Water,NIA,PFOA,2.33E+05,3.15,1.49E+06,100
NIA water ext Grp E rep 3,Sample,Field,Water,NIA,PFOA,2.77E+05,3.17,1.80E+06,100
NIA water ext Grp F lab blank,Blank,Lab,Water,NIA,PFOA,2.26E+04,3.17,1.11E+06,1
NIA water ext Grp F Field blank,Blank,Field,Water,NIA,PFOA,1.40E+04,3.17,1.91E+06,1
NIA water ext Grp F rep 1,Sample,Field,Water,NIA,PFOA,2.99E+05,3.16,1.26E+06,100
NIA water ext Grp F rep 2,Sample,Field,Water,NIA,PFOA,3.26E+05,3.15,1.73E+06,100
NIA water ext Grp F rep 3,Sample,Field,Water,NIA,PFOA,2.07E+05,3.19,1.38E+06,100
NIA water ext Grp D lab blank,Blank,Lab,Water,NIA,PFOA,1.10E+04,3.17,9.86E+05,1
NIA water ext Grp D Field blank,Blank,Field,Water,NIA,PFOA,1.63E+04,3.19,1.35E+06,1
NIA water ext Grp D rep 1,Sample,Field,Water,NIA,PFOA,2.17E+05,3.17,1.25E+06,100
NIA water ext Grp D rep 2,Sample,Field,Water,NIA,PFOA,2.26E+05,3.17,1.29E+06,100
NIA water ext Grp D rep 3,Sample,Field,Water,NIA,PFOA,2.38E+05,3.18,1.25E+06,100
NIA water ext Grp D spike,Spike,Field,Water,NIA,PFOA,2.13E+06,3.16,9.04E+05,1
NIA water ext Grp E spike,Spike,Field,Water,NIA,PFOA,1.34E+06,3.17,1.32E+06,1
20MC water ext 2 spike,Spike,Field,Water,20MC,PFOA,2.29E+06,3.17,4.47E+05,1
20MC water ext 1 spike,Spike,Field,Water,20MC,PFOA,1.42E+06,3.18,3.64E+05,1
20MC blender blk Grp B,Blank,Blender,Biota,20MC,PFOA,1.30E+04,3.22,4.77E+05,1
20MC catfish Grp B rep 1,Sample,Blender,Biota,20MC,PFOA,8.24E+04,3.15,3.82E+05,1.0748
20MC catfish Grp B rep 2,Sample,Blender,Biota,20MC,PFOA,9.70E+04,3.1,5.04E+05,1.009
20MC catfish Grp B rep 3,Sample,Blender,Biota,20MC,PFOA,8.88E+04,3.15,3.63E+05,1.0164
20MC snail Grp B rep 1,Sample,Blender,Biota,20MC,PFOA,5.50E+04,3.17,3.98E+05,1.0074
20MC snail Grp B rep 2,Sample,Blender,Biota,20MC,PFOA,7.03E+04,3.17,3.93E+05,1.1286
20MC snail Grp B rep 3,Sample,Blender,Biota,20MC,PFOA,9.00E+04,3.16,3.82E+05,1.0855
20MC sunfish Grp B rep 1,Sample,Blender,Biota,20MC,PFOA,6.60E+04,3.18,3.42E+05,1.0472
20MC sunfish Grp B rep 2,Sample,Blender,Biota,20MC,PFOA,1.05E+05,3.14,4.40E+05,1.0903
20MC sunfish Grp B rep 3,Sample,Blender,Biota,20MC,PFOA,5.20E+04,3.16,2.92E+05,1.023
20MC Catfish 2 blender blk Grp C ,Blank,Blender,Biota,20MC,PFOA,1.81E+04,3.19,8.71E+05,1
20MC Catfish 2 Grp C rep 1,Sample,Blender,Biota,20MC,PFOA,7.52E+04,3.11,8.97E+05,1.086
20MC Catfish 2 Grp C rep 2,Sample,Blender,Biota,20MC,PFOA,6.21E+04,3.11,9.18E+05,1.0618
20MC Catfish 2 Grp C rep 3,Sample,Blender,Biota,20MC,PFOA,4.34E+04,3.09,7.03E+05,1.0268
20MC Crayfish Grp C blank,Blank,Blender,Biota,20MC,PFOA,3.10E+04,3.16,6.97E+05,1
20MC Crayfish Grp C rep 1,Sample,Blender,Biota,20MC,PFOA,4.25E+04,3.19,1.16E+06,1.0985
20MC Crayfish Grp C rep 2,Sample,Blender,Biota,20MC,PFOA,5.10E+04,3.13,0.00E+00,1.0701
20MC Crayfish Grp C rep 3,Sample,Blender,Biota,20MC,PFOA,2.55E+04,3.12,1.21E+06,0.719
20MC Homogenizer blk Grp C,Blank,Homogenizer,Biota,20MC,PFOA,2.03E+04,3.19,9.02E+05,1
20MC Mayfly Grp C rep 1,Sample,Homogenizer,Biota,20MC,PFOA,7.79E+04,3.18,9.34E+05,0.2434
20MC Mayfly Grp C rep 2,Sample,Homogenizer,Biota,20MC,PFOA,3.94E+04,3.15,1.06E+06,0.2421
20MC Mayfly Grp C rep 3,Sample,Homogenizer,Biota,20MC,PFOA,8.74E+04,3.19,1.09E+06,0.1754
20MC Mortar and Pestle blk Grp A,Blank,Pestle,Biota,20MC,PFOA,4.52E+04,3.19,1.05E+06,1
20MC Beetle Grp A,Sample,Pestle,Biota,20MC,PFOA,2.14E+04,3.16,3.00E+05,0.3872
20MC Stick bug Grp A,Sample,Pestle,Biota,20MC,PFOA,1.10E+05,3.14,7.40E+05,0.2556
20MC Minnow Grp A rep 1,Sample,Blender,Biota,20MC,PFOA,2.67E+04,3.13,4.13E+05,1.085
20MC Minnow Grp A rep 2,Sample,Blender,Biota,20MC,PFOA,3.27E+04,3.14,4.22E+05,0.9924
20MC Minnow Grp A rep 3,Sample,Blender,Biota,20MC,PFOA,1.63E+04,3.12,2.43E+05,1.012
NIA Blender Blk Grp D 2x dil,Blank,Blender,Biota,NIA,PFOA,5.61E+04,3.18,1.13E+06,1
NIA Catfish 1-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,2.15E+04,3.2,1.43E+06,0.811
NIA Catfish 1-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,1.48E+04,3.18,1.30E+06,0.8655
NIA Catfish 1-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,1.50E+04,3.16,1.44E+06,0.9952
NIA Sunfish 2-1 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,1.31E+04,3.17,1.11E+06,0.998
NIA Sunfish 2-2 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,1.60E+04,3.19,1.43E+06,1.3837
NIA Sunfish 2-3 Grp D 20x dil,Sample,Blender,Biota,NIA,PFOA,1.24E+04,3.17,1.12E+06,1.1401
NIA Homogenizer Blk Grp D 2x dil,Blank,Homogenizer,Biota,NIA,PFOA,1.48E+04,3.15,1.51E+06,1
NIA Damselfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFOA,1.08E+04,3.2,9.44E+05,1.0018
NIA Damselfly 2 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFOA,1.07E+04,3.2,8.76E+05,0.4005
NIA Dragonfly 1 Grp D 20x dil,Sample,Homogenizer,Biota,NIA,PFOA,1.53E+04,3.18,1.01E+06,0.352
NIA Mortar and Pestle Blk Grp E 2x dil,Blank,Pestle,Biota,NIA,PFOA,3.74E+04,3.17,1.16E+06,1
NIA Catfish Blk Grp E 2x dil,Blank,Blender,Biota,NIA,PFOA,3.36E+04,3.2,9.58E+05,1
NIA Whirlygig 1 Grp E 20x dil,Sample,Pestle,Biota,NIA,PFOA,1.71E+04,3.18,1.37E+06,0.3269
NIA Catfish 2-1 Grp E 20x dil,Sample,Blender,Biota,NIA,PFOA,1.31E+04,3.2,9.83E+05,0.9985
NIA Catfish 2-2 Grp E 20x dil,Sample,Blender,Biota,NIA,PFOA,1.45E+04,3.19,1.09E+06,0.8517
NIA Snail Grp E 20x dil,Sample,Homogenizer,Biota,NIA,PFOA,5.44E+04,3.18,9.76E+05,1.5217
NIA Damselfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFOA,6.72E+04,3.14,1.01E+06,0.4005
NIA Damselfly 2 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFOA,4.38E+04,3.14,8.72E+05,0.352
NIA Dragonfly 1 Grp D 2x dil,Sample,Homogenizer,Biota,NIA,PFOA,4.89E+04,3.18,8.29E+05,1.0018
NIA Catfish 1-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,4.83E+04,3.15,6.73E+05,0.811
NIA Catfish 1-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,3.29E+04,3.19,6.83E+05,0.8655
NIA Catfish 1-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,3.05E+04,3.13,4.06E+05,0.9952
NIA Sunfish 2-1 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,1.56E+04,3.19,3.51E+05,0.998
NIA Sunfish 2-2 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,1.75E+04,3.2,5.24E+05,1.3837
NIA Sunfish 2-3 Grp D 2x dil,Sample,Blender,Biota,NIA,PFOA,2.07E+04,3.19,4.40E+05,1.1401
NIA Whirlygig 1 Grp E 2x dil,Sample,Pestle,Biota,NIA,PFOA,2.12E+04,3.16,4.55E+05,0.3269
NIA Catfish 2-1 Grp E 2x dil,Sample,Blender,Biota,NIA,PFOA,2.06E+04,3.17,3.53E+05,0.9985
NIA Catfish 2-2 Grp E 2x dil,Sample,Blender,Biota,NIA,PFOA,2.04E+04,3.17,4.05E+05,0.8517
NIA Snail Grp E 2x dil,Sample,Homogenizer,Biota,NIA,PFOA,1.18E+05,3.17,2.61E+05,1.5217
20MC Sed 2 Grp A lab blk,Blank,Lab,Sediment,,PFOA,3.55E+04,3.17,5.14E+05,1
20MC Sed 2 Grp A field blk,Blank,Field,Sediment,20MC,PFOA,1.73E+04,3.18,2.88E+05,1
20MC Sed 2 Grp A rep 1,Sample,Field,Sediment,20MC,PFOA,2.84E+04,3.19,3.58E+05,0.9946
20MC Sed 2 Grp A rep 2,Sample,Field,Sediment,20MC,PFOA,3.19E+04,3.17,3.80E+05,1.0023
20MC Sed 2 Grp A rep 3,Sample,Field,Sediment,20MC,PFOA,2.90E+04,3.17,3.09E+05,0.9943
20MC Sed 3 Grp C lab blk,Blank,Lab,Sediment,20MC,PFOA,2.71E+04,3.2,4.20E+05,1
20MC Sed 3 Grp C field blk,Blank,Field,Sediment,20MC,PFOA,3.07E+04,3.15,1.82E+05,1
20MC Sed 3 Grp C rep 1,Sample,Field,Sediment,20MC,PFOA,2.93E+04,3.17,3.22E+05,0.9937
20MC Sed 3 Grp C rep 2,Sample,Field,Sediment,20MC,PFOA,8.25E+04,3.17,3.04E+05,1.0376
20MC Sed 3 Grp C rep 3,Sample,Field,Sediment,20MC,PFOA,5.18E+04,3.17,3.35E+05,1.0013
20MC Sed 1 Grp B method blk,Blank,Lab,Sediment,20MC,PFOA,2.69E+04,3.17,1.15E+05,1
