Sample name ,Sample type,Sample group,Matrix,Location,Compound,Analyte peak area,Analyte retention time (min),Internal standard peak area,Internal standard retention time (min),Normalization factor,
20MC_GroupC_sediment_field_blank,Blank,Field,Sediment,20MC,PFHpA,5.62E+03,3.74,6.93E+04,3.9,1,FALSE
20MC_GroupC_sediment_field_spike,Spike,Field,Sediment,20MC,PFHpA,6.18E+05,3.72,1.10E+05,3.87,1,FALSE
20MC_GroupC_sediment_1,Sample,Field,Sediment,20MC,PFHpA,6.09E+03,3.72,1.13E+05,3.87,0.9993,FALSE
20MC_GroupC_sediment_2,Sample,Field,Sediment,20MC,PFHpA,2.60E+03,3.7,8.42E+04,3.88,0.9969,FALSE
20MC_GroupC_sediment_3,Sample,Field,Sediment,20MC,PFHpA,1.72E+03,3.74,6.94E+04,3.88,0.9964,FALSE
20MC_GroupA_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFHpA,3.81E+04,3.72,2.05E+04,3.88,1,FALSE
20MC_GroupA_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHpA,1.77E+03,3.71,4.21E+04,3.87,1,FALSE
20MC_GroupA_Crayfish_1_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,1.99E+03,3.74,9.50E+04,3.88,1.0527,FALSE
20MC_GroupA_Crayfish_2_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,2.38E+03,3.73,4.67E+04,3.87,1.0751,FALSE
20MC_GroupA_Catfish_1_2xdilution,Sample,Blender,Biota,20MC,PFHpA,1.37E+03,3.72,4.40E+04,3.86,1.0718,FALSE
20MC_GroupA_Catfish_4_2xdilution,Sample,Blender,Biota,20MC,PFHpA,4.91E+03,3.69,4.09E+04,3.86,1.152,FALSE
20MC_GroupA_Bug_3_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,7.76E+02,3.72,3.22E+04,3.86,0.1101,FALSE
20MC_GroupA_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHpA,3.77E+03,3.73,1.45E+05,3.89,1,FALSE
20MC_GroupA_sediment_field_blank,Blank,Field,Sediment,20MC,PFHpA,1.06E+04,3.74,8.60E+04,3.91,1,FALSE
20MC_GroupA_sediment_field_spike,Spike,Field,Sediment,20MC,PFHpA,5.72E+05,3.72,1.00E+05,3.89,1,FALSE
20MC_GroupA_sediment_sample1,Sample,Field,Sediment,20MC,PFHpA,8.06E+03,3.72,1.22E+05,3.88,0.9952,FALSE
20MC_GroupA_sediment_sample2,Sample,Field,Sediment,20MC,PFHpA,4.83E+03,3.72,1.00E+05,3.87,0.9943,FALSE
20MC_GroupA_sediment_sample3,Sample,Field,Sediment,20MC,PFHpA,4.41E+03,3.71,8.60E+04,3.89,0.9996,FALSE
20MC_GroupB_Bug_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,1.54E+03,3.71,6.10E+04,3.86,0.1,FALSE
20MC_GroupB_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHpA,9.61E+02,3.71,3.92E+04,3.86,1,FALSE
20MC_GroupB_Bug_1_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,2.11E+03,3.72,7.53E+04,3.87,0.2389,FALSE
20MC_GroupB_Bug_2_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,8.59E+02,3.7,8.17E+04,3.86,0.0209,FALSE
20MC_GroupB_Bug_4_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,8.60E+02,3.8,4.53E+04,3.86,0.0209,FALSE
20MC_GroupB_Crayfish_4_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,2.27E+03,3.71,5.85E+04,3.88,0.8841,FALSE
20MC_GroupB_Crayfish_5_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,2.04E+03,3.69,2.58E+04,3.85,1.0013,FALSE
20MC_GroupB_Catfish_2_2xdilution,Sample,Blender,Biota,20MC,PFHpA,1.06E+03,3.7,1.39E+04,3.86,1.9834,FALSE
20MC_GroupB_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFHpA,4.13E+03,3.74,1.38E+05,3.9,1,FALSE
20MC_GroupB_sediment_field_blank,Blank,Field,Sediment,20MC,PFHpA,6.85E+03,3.74,2.46E+05,3.9,1,FALSE
20MC_GroupB_sediment_field_spike,Spike,Field,Sediment,20MC,PFHpA,4.97E+05,3.73,2.25E+05,3.9,1,FALSE
20MC_GroupB_sediment_sample1,Sample,Field,Sediment,20MC,PFHpA,1.96E+04,3.72,2.64E+05,3.89,1.0172,FALSE
20MC_GroupB_sediment_sample2,Sample,Field,Sediment,20MC,PFHpA,9.24E+03,3.73,2.11E+05,3.89,1.0119,FALSE
20MC_GroupB_sediment_sample3,Sample,Field,Sediment,20MC,PFHpA,1.30E+04,3.72,2.01E+05,3.89,1.0063,FALSE
20MC_GroupC_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFHpA,1.13E+04,3.73,1.43E+05,3.87,1,FALSE
20MC_GroupC_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFHpA,2.04E+05,3.71,1.45E+05,3.89,1,FALSE
20MC_GroupC_Crayfish_3_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,1.15E+04,3.71,7.74E+04,3.86,0.8155,FALSE
20MC_GroupC_Blender_Blank_2xdilution,Blank,Blender,Biota,20MC,PFHpA,1.20E+03,3.68,6.48E+04,3.86,1,FALSE
20MC_GroupC_Bluegill_Sunfish_2xdilution,Sample,Blender,Biota,20MC,PFHpA,2.39E+03,3.71,8.95E+04,3.86,0.1946,FALSE
20MC_GroupC_Catfish_3_2xdilution,Sample,Blender,Biota,20MC,PFHpA,1.65E+03,3.72,3.33E+04,3.88,1.0773,FALSE
20MC_GroupC_Nymphs_3_2xdilution,Sample,Homogenizer,Biota,20MC,PFHpA,2.22E+03,3.72,4.78E+04,3.86,0.5289,FALSE
20MC_GroupC_Slug_2xdilution,Sample,Homogenizer,Biota,20MC,PFHpA,6.73E+02,3.73,4.05E+04,3.86,0.5593,FALSE
20MC_GroupC_Beetle_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,1.94E+03,3.7,4.83E+04,3.87,0.2705,FALSE
20MC_GroupC_Whirligig_2xdilution,Sample,Pestle,Biota,20MC,PFHpA,1.23E+03,3.71,4.52E+04,3.86,0.0547,FALSE
NIA_Water_Lab_Blank,Blank,Lab,Water,NIA,PFHpA,2.53E+03,3.73,4.71E+04,3.87,1,FALSE
NIA_Water_Field_Blank,Blank,Field,Water,NIA,PFHpA,2.76E+03,3.7,4.85E+04,3.87,1,FALSE
NIA_Water_Spike_1,Spike,Field,Water,NIA,PFHpA,4.24E+05,3.72,5.04E+04,3.87,1,FALSE
NIA_Water_Spike_2,Spike,Field,Water,NIA,PFHpA,5.22E+05,3.73,5.28E+04,3.89,1,FALSE
NIA_Water_Sample_1,Sample,Field,Water,NIA,PFHpA,2.12E+04,3.72,5.17E+04,3.89,100,FALSE
NIA_Water_Sample_2,Sample,Field,Water,NIA,PFHpA,4.67E+04,3.71,4.86E+04,3.88,100,FALSE
NIA_Water_Sample_3,Sample,Field,Water,NIA,PFHpA,2.09E+04,3.71,4.51E+04,3.89,100,FALSE
NIA_Water_Sample_4,Sample,Field,Water,NIA,PFHpA,2.07E+04,3.71,4.38E+04,3.87,100,FALSE
NIA_0 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,1.96E+03,3.74,4.06E+04,3.88,1,FALSE
NIA_0.2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,8.37E+03,3.72,5.31E+04,3.88,1,FALSE
NIA_0.4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,1.53E+04,3.71,5.76E+04,3.87,1,FALSE
NIA_1 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,3.55E+04,3.71,6.36E+04,3.87,1,FALSE
NIA_2 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,6.87E+04,3.73,7.42E+04,3.9,1,FALSE
NIA_4 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,1.61E+05,3.71,6.40E+04,3.87,1,FALSE
NIA_10 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,4.37E+05,3.72,6.98E+04,3.87,1,FALSE
NIA_20 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,7.60E+05,3.74,7.82E+04,3.89,1,FALSE
NIA_40 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,1.42E+06,3.72,9.98E+04,3.88,1,FALSE
NIA_100 ng/mL,Calibration curve,Lab,N/A,NIA,PFHpA,3.34E+06,3.73,1.34E+05,3.88,1,FALSE
NIA_GroupF_Blender_Blank_2x,Blank,Blender,Biota,NIA,PFHpA,3.06E+02,3.74,1.03E+04,3.86,1,FALSE
NIA_GroupF_Biota_Spike_2x,Spike,Blender,Biota,NIA,PFHpA,2.43E+04,3.71,2.61E+04,3.86,1,FALSE
NIA_GroupF_Mortar_Blank_2x,Blank,Pestle,Biota,NIA,PFHpA,7.48E+02,3.73,1.55E+04,3.89,1,FALSE
NIA_GroupF_Homogenizer_Blank_2x,Blank,Homogenizer,Biota,NIA,PFHpA,6.38E+02,3.73,1.58E+04,3.87,1,FALSE
NIA_GroupF_Crayfish_20x,Sample,Pestle,Biota,NIA,PFHpA,8.35E+02,3.73,1.41E+04,3.86,1.338,FALSE
NIA_GroupF_Bug_20x,Sample,Pestle,Biota,NIA,PFHpA,5.23E+02,3.72,2.14E+04,3.88,0.2843,FALSE
NIA_GroupF_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFHpA,3.54E+02,3.71,1.70E+04,3.88,0.9854,FALSE
NIA_GroupF_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFHpA,5.26E+02,3.71,1.67E+04,3.87,1.0054,FALSE
NIA_GroupF_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFHpA,6.55E+02,3.71,1.44E+04,3.88,1.0363,FALSE
NIA_GroupF_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFHpA,6.60E+02,3.71,1.68E+04,3.87,1.2382,FALSE
NIA_GroupF_Catfish_1A_20x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.84E+04,3.86,1.0587,FALSE
NIA_GroupF_Catfish_1B_20x,Sample,Blender,Biota,NIA,PFHpA,5.99E+02,3.72,2.18E+04,3.87,1.1866,FALSE
NIA_GroupF_Catfish_1C_20x,Sample,Blender,Biota,NIA,PFHpA,6.95E+02,3.73,2.26E+04,3.88,1.4201,FALSE
NIA_GroupF_Catfish_2_20x,Sample,Blender,Biota,NIA,PFHpA,8.48E+02,3.74,1.79E+04,3.87,0.4611,FALSE
NIA_GroupF_Catfish_3_20x,Sample,Blender,Biota,NIA,PFHpA,1.19E+03,3.73,2.26E+04,3.87,0.4665,FALSE
NIA_GroupF_Catfish_4_20x,Sample,Blender,Biota,NIA,PFHpA,1.04E+03,3.77,2.89E+04,3.89,0.424,FALSE
NIA_GroupF_Crayfish_2x,Sample,Pestle,Biota,NIA,PFHpA,8.74E+03,3.69,2.74E+04,3.86,1.338,FALSE
NIA_GroupF_Bug_2x,Sample,Pestle,Biota,NIA,PFHpA,4.18E+02,3.74,1.40E+04,3.85,0.2843,FALSE
NIA_GroupF_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFHpA,3.31E+02,3.78,7.88E+03,3.87,0.9854,FALSE
NIA_GroupF_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFHpA,3.79E+02,3.79,0.00E+00,0,1.0054,TRUE
NIA_GroupF_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFHpA,4.74E+02,3.72,1.18E+04,3.88,1.0363,FALSE
NIA_GroupF_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFHpA,3.73E+02,3.71,1.07E+04,3.89,1.2382,FALSE
NIA_GroupF_Catfish_1A_2x,Sample,Blender,Biota,NIA,PFHpA,8.56E+02,3.71,6.34E+03,3.87,1.0587,FALSE
NIA_GroupF_Catfish_1B_2x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,0.00E+00,0,1.1866,TRUE
NIA_GroupF_Catfish_1C_2x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,0.00E+00,0,1.4201,TRUE
NIA_GroupF_Catfish_2_2x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,0.00E+00,0,0.4611,TRUE
NIA_GroupF_Catfish_3_2x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,0.00E+00,0,0.4665,TRUE
NIA_GroupF_Catfish_4_2x,Sample,Blender,Biota,NIA,PFHpA,0.00E+00,0,0.00E+00,0,0.424,TRUE
NIA_GroupD_Blender_Blank,Blank,Blender,Biota,NIA,PFHpA,2.59E+04,3.71,9.36E+04,3.88,1,FALSE
NIA_GroupD_Biota_Spike,Spike,Blender,Biota,NIA,PFHpA,2.92E+05,3.73,7.70E+04,3.89,1,FALSE
NIA_GroupD_Bluegill_1_20x,Sample,Blender,Biota,NIA,PFHpA,5.40E+03,3.74,6.39E+04,3.88,0.4212,FALSE
NIA_GroupD_Bluegill_2_20x,Sample,Blender,Biota,NIA,PFHpA,3.51E+03,3.73,5.91E+04,3.9,0.3059,FALSE
NIA_GroupD_Bluegill_3_20x,Sample,Blender,Biota,NIA,PFHpA,2.79E+03,3.74,5.89E+04,3.89,0.5911,FALSE
NIA_GroupD_Crayfish_1_20x,Sample,Pestle,Biota,NIA,PFHpA,7.68E+03,3.72,6.88E+04,3.88,1.0304,FALSE
NIA_GroupD_Crayfish_2_20x,Sample,Pestle,Biota,NIA,PFHpA,5.06E+03,3.72,6.28E+04,3.89,1.056,FALSE
NIA_GroupD_Crayfish_3_20x,Sample,Pestle,Biota,NIA,PFHpA,5.99E+03,3.72,5.98E+04,3.88,0.9936,FALSE
NIA_GroupD_Bug_20x,Sample,Pestle,Biota,NIA,PFHpA,2.65E+03,3.72,4.78E+04,3.87,0.2205,FALSE
NIA_GroupD_Bluegill_1_2x,Sample,Blender,Biota,NIA,PFHpA,5.44E+03,3.72,7.37E+04,3.89,0.4212,FALSE
NIA_GroupD_Bluegill_2_2x,Sample,Blender,Biota,NIA,PFHpA,1.45E+03,3.73,4.70E+04,3.88,0.3059,FALSE
NIA_GroupD_Bluegill_3_2x,Sample,Blender,Biota,NIA,PFHpA,1.57E+03,3.72,2.40E+04,3.87,0.5911,FALSE
NIA_GroupD_Crayfish_1_2x,Sample,Pestle,Biota,NIA,PFHpA,7.28E+03,3.68,2.70E+04,3.85,1.0304,FALSE
NIA_GroupD_Crayfish_2_2x,Sample,Pestle,Biota,NIA,PFHpA,2.92E+03,3.68,1.54E+04,3.85,1.056,FALSE
NIA_GroupD_Crayfish_3_2x,Sample,Pestle,Biota,NIA,PFHpA,3.23E+03,3.69,1.29E+04,3.85,0.9936,FALSE
NIA_GroupD_Bug_2x,Sample,Pestle,Biota,NIA,PFHpA,0.00E+00,0,1.58E+04,3.86,0.2205,FALSE
NIA_GroupD_sediment_lab_blank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,1.68E+04,3.88,1,FALSE
NIA_GroupD_sediment_field_blank,Blank,Field,Sediment,NIA,PFHpA,2.88E+03,3.71,1.76E+04,3.88,1,FALSE
NIA_GroupD_sediment_spike,Spike,Field,Sediment,NIA,PFHpA,4.72E+04,3.71,1.35E+04,3.87,1,FALSE
NIA_GroupD_sediment_sample_1_20x,Sample,Field,Sediment,NIA,PFHpA,8.02E+02,3.77,1.90E+04,3.88,1.0042,FALSE
NIA_GroupD_sediment_sample_2_20x,Sample,Field,Sediment,NIA,PFHpA,9.38E+02,3.72,2.62E+04,3.89,1.0087,FALSE
NIA_GroupD_sediment_sample_3_20x,Sample,Field,Sediment,NIA,PFHpA,1.16E+03,3.71,3.15E+04,3.89,1.009,FALSE
NIA_GroupD_sediment_sample_1_2x,Sample,Field,Sediment,NIA,PFHpA,2.83E+03,3.7,2.90E+04,3.87,1.0042,FALSE
NIA_GroupD_sediment_sample_2_2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,1.94E+04,3.87,1.0087,FALSE
NIA_GroupD_sediment_sample_3_2x,Sample,Field,Sediment,NIA,PFHpA,1.17E+03,3.7,1.67E+04,3.87,1.009,FALSE
NIA_GroupE_Blender_Blank,Blank,Blender,Biota,NIA,PFHpA,0.00E+00,0,1.43E+04,3.89,1,FALSE
NIA_GroupE_Biota_Spike,Spike,Homogenizer,Biota,NIA,PFHpA,7.94E+04,3.72,1.76E+04,3.88,1,FALSE
NIA_GroupE_Shrimp_1_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.47E+03,3.76,2.28E+04,3.88,1.0419,FALSE
NIA_GroupE_Shrimp_2_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.26E+03,3.7,2.28E+04,3.86,1.0003,FALSE
NIA_GroupE_Shrimp_3_20x,Sample,Homogenizer,Biota,NIA,PFHpA,5.86E+02,3.7,2.43E+04,3.88,1.0657,FALSE
NIA_GroupE_Shrimp_4_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.79E+03,3.72,2.55E+04,3.89,2.4803,FALSE
NIA_GroupE_Shrimp_5_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.61E+03,3.73,2.40E+04,3.88,5.9906,FALSE
NIA_GroupE_Shrimp_6_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.52E+03,3.7,2.66E+04,3.88,1,FALSE
NIA_GroupE_PumpkinSeed_1_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.85E+03,3.72,2.62E+04,3.89,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.89E+03,3.76,3.05E+04,3.87,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.41E+03,3.72,2.79E+04,3.88,0.2329,FALSE
NIA_GroupE_Spider_1_20x,Sample,Homogenizer,Biota,NIA,PFHpA,1.19E+03,3.73,3.18E+04,3.9,0.0129,FALSE
NIA_GroupE_Beetle_1_20x,Sample,Pestle,Biota,NIA,PFHpA,2.25E+03,3.74,3.30E+04,3.87,0.07,FALSE
NIA_GroupE_Nymph_1_20x,Sample,Homogenizer,Biota,NIA,PFHpA,2.83E+03,3.7,3.80E+04,3.87,0.2131,FALSE
NIA_GroupE_Shrimp_1_2x,Sample,Homogenizer,Biota,NIA,PFHpA,1.77E+03,3.75,4.92E+04,3.89,1.0419,FALSE
NIA_GroupE_Shrimp_2_2x,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.32E+04,3.84,1.0003,FALSE
NIA_GroupE_Shrimp_3_2x,Sample,Homogenizer,Biota,NIA,PFHpA,2.58E+02,3.72,9.73E+03,3.87,1.0657,FALSE
NIA_GroupE_Shrimp_4_2x,Sample,Homogenizer,Biota,NIA,PFHpA,2.09E+02,3.67,6.35E+03,3.86,2.4803,FALSE
NIA_GroupE_Shrimp_5_2x,Sample,Homogenizer,Biota,NIA,PFHpA,4.65E+02,3.73,7.89E+03,3.88,5.9906,FALSE
NIA_GroupE_Shrimp_6_2x,Sample,Homogenizer,Biota,NIA,PFHpA,2.95E+02,3.71,7.67E+03,3.86,1,FALSE
NIA_GroupE_PumpkinSeed_1_2x,Sample,Homogenizer,Biota,NIA,PFHpA,2.26E+02,3.72,9.10E+03,3.87,0.8698,FALSE
NIA_GroupE_PumpkinSeed_2_2x,Sample,Homogenizer,Biota,NIA,PFHpA,5.96E+02,3.74,1.13E+04,3.87,0.8784,FALSE
NIA_GroupE_PumpkinSeed_3_2x,Sample,Homogenizer,Biota,NIA,PFHpA,0.00E+00,0,1.00E+04,3.87,0.2329,FALSE
NIA_GroupE_Spider_1_2x,Sample,Homogenizer,Biota,NIA,PFHpA,1.85E+02,3.74,1.00E+04,3.88,0.0129,FALSE
NIA_GroupE_Beetle_1_2x,Sample,Pestle,Biota,NIA,PFHpA,3.09E+02,3.71,1.50E+04,3.89,0.07,FALSE
NIA_GroupE_Nymph_1_2x,Sample,Homogenizer,Biota,NIA,PFHpA,9.34E+02,3.77,1.40E+04,3.88,0.2131,FALSE
NIA_GroupE_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFHpA,2.05E+02,3.78,1.60E+04,3.86,1,FALSE
NIA_GroupE_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFHpA,1.68E+03,3.73,1.36E+04,3.87,1,FALSE
NIA_GroupE_Sediment_Spike,Spike,Field,Sediment,NIA,PFHpA,4.44E+04,3.71,1.18E+04,3.86,1,FALSE
NIA_GroupE_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFHpA,7.88E+02,3.72,1.64E+04,3.88,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFHpA,8.44E+02,3.77,1.77E+04,3.87,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFHpA,7.00E+02,3.71,1.96E+04,3.88,1.0034,FALSE
NIA_GroupE_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,2.04E+04,3.87,0.9983,FALSE
NIA_GroupE_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,1.61E+04,3.87,1.0174,FALSE
NIA_GroupE_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFHpA,0.00E+00,0,1.53E+04,3.87,1.0034,FALSE
NIA_GroupF_Sediment_Lab_Blank,Blank,Lab,Sediment,NIA,PFHpA,0.00E+00,0,1.48E+04,3.88,0,FALSE
NIA_GroupF_Sediment_Field_Blank,Blank,Field,Sediment,NIA,PFHpA,1.04E+03,3.71,1.21E+04,3.89,0,FALSE
NIA_GroupF_Sediment_Spike,Spike,Field,Sediment,NIA,PFHpA,5.02E+04,3.73,1.31E+04,3.9,0,FALSE
NIA_GroupF_Sediment_Sample_1_20x,Sample,Field,Sediment,NIA,PFHpA,6.38E+02,3.76,1.52E+04,3.9,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_20x,Sample,Field,Sediment,NIA,PFHpA,3.90E+02,3.74,1.74E+04,3.89,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_20x,Sample,Field,Sediment,NIA,PFHpA,7.35E+02,3.75,1.77E+04,3.89,0.9945,FALSE
NIA_GroupF_Sediment_Sample_1_2x,Sample,Field,Sediment,NIA,PFHpA,1.14E+03,3.81,2.14E+04,3.88,0.9944,FALSE
NIA_GroupF_Sediment_Sample_2_2x,Sample,Field,Sediment,NIA,PFHpA,1.37E+03,3.71,1.82E+04,3.88,0.9981,FALSE
NIA_GroupF_Sediment_Sample_3_2x,Sample,Field,Sediment,NIA,PFHpA,1.80E+03,3.79,1.69E+04,3.86,0.9945,FALSE
20MC_0 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,0.00E+00,2.65,2.44E+05,4,1,FALSE
20MC_0.2 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,4.59E+04,3.97,3.02E+05,3.97,1,FALSE
20MC_0.4 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,5.59E+04,3.96,2.55E+05,3.96,1,FALSE
20MC_1 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,1.18E+05,3.96,2.30E+05,3.97,1,FALSE
20MC_2 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,2.30E+05,3.96,2.70E+05,3.96,1,FALSE
20MC_4 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,4.40E+05,3.96,2.11E+05,3.95,1,FALSE
20MC_10 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,1.18E+06,3.95,2.37E+05,3.95,1,FALSE
20MC_20 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,2.18E+06,3.95,2.55E+05,3.95,1,FALSE
20MC_40 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,3.54E+06,3.93,2.60E+05,3.93,1,FALSE
20MC_100 ng/mL,Calibration curve,Lab,N/A,20MC,PFOA,7.98E+06,3.93,3.56E+05,3.92,1,FALSE
20MC_water_lab_blank,Blank,Lab,Water,20MC,PFOA,7.16E+04,3.93,2.26E+05,3.93,1,FALSE
20MC_water_field_blank,Blank,Field,Water,20MC,PFOA,1.59E+04,3.93,2.15E+05,3.93,1,FALSE
20MC_water_spike1,Spike,Field,Water,20MC,PFOA,1.95E+06,3.92,1.98E+05,3.92,1,FALSE
20MC_water_spike2,Spike,Field,Water,20MC,PFOA,1.78E+06,3.91,2.11E+05,3.91,1,FALSE
20MC_water_sample_1,Sample,Field,Water,20MC,PFOA,5.27E+04,3.92,2.31E+05,3.91,100,FALSE
20MC_water_sample_2,Sample,Field,Water,20MC,PFOA,9.88E+04,3.92,2.31E+05,3.91,100,FALSE
20MC_water_sample_3,Sample,Field,Water,20MC,PFOA,4.30E+04,3.91,2.12E+05,3.9,100,FALSE
20MC_water_sample_4,Sample,Field,Water,20MC,PFOA,4.53E+04,3.91,2.32E+05,3.9,100,FALSE
20MC_GroupC_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFOA,5.42E+04,3.89,1.67E+05,3.89,1,FALSE
20MC_GroupC_sediment_field_blank,Blank,Field,Sediment,20MC,PFOA,3.64E+04,3.91,6.93E+04,3.9,1,FALSE
20MC_GroupC_sediment_field_spike,Spike,Field,Sediment,20MC,PFOA,6.31E+05,3.88,1.10E+05,3.87,1,FALSE
20MC_GroupC_sediment_1,Sample,Field,Sediment,20MC,PFOA,1.47E+04,3.86,1.13E+05,3.87,0.9993,FALSE
20MC_GroupC_sediment_2,Sample,Field,Sediment,20MC,PFOA,5.68E+03,3.89,8.42E+04,3.88,0.9969,FALSE
20MC_GroupC_sediment_3,Sample,Field,Sediment,20MC,PFOA,3.52E+03,3.87,6.94E+04,3.88,0.9964,FALSE
20MC_GroupA_Biota_Spike_2xdilution,Spike,Pestle,Biota,20MC,PFOA,6.19E+04,3.88,2.05E+04,3.88,1,FALSE
20MC_GroupA_Mortar_Blank_2xdilution,Blank,Pestle,Biota,20MC,PFOA,1.76E+04,3.89,4.21E+04,3.87,1,FALSE
20MC_GroupA_Crayfish_1_2xdilution,Sample,Pestle,Biota,20MC,PFOA,1.02E+04,3.89,9.50E+04,3.88,1.0527,FALSE
20MC_GroupA_Crayfish_2_2xdilution,Sample,Pestle,Biota,20MC,PFOA,2.88E+04,3.87,4.67E+04,3.87,1.0751,FALSE
20MC_GroupA_Catfish_1_2xdilution,Sample,Blender,Biota,20MC,PFOA,1.32E+04,3.87,4.40E+04,3.86,1.0718,FALSE
20MC_GroupA_Catfish_4_2xdilution,Sample,Blender,Biota,20MC,PFOA,2.26E+04,3.85,4.09E+04,3.86,1.152,FALSE
20MC_GroupA_Bug_3_2xdilution,Sample,Pestle,Biota,20MC,PFOA,9.31E+03,3.85,3.22E+04,3.86,0.1101,FALSE
20MC_GroupA_sediment_lab_blank,Blank,Lab,Sediment,20MC,PFOA,6.45E+03,3.9,1.45E+05,3.89,1,FALSE
20MC_GroupA_sediment_field_blank,Blank,Field,Sediment,20MC,PFOA,9.02E+04,3.9,8.60E+04,3.91,1,FALSE
20MC_GroupA_sediment_field_spike,Spike,Field,Sediment,20MC,PFOA,6.36E+05,3.89,1.00E+05,3.89,1,FALSE
20MC_GroupA_sediment_sample1,Sample,Field,Sediment,20MC,PFOA,1.42E+04,3.9,1.22E+05,3.88,0.9952,FALSE
20MC_GroupA_sediment_sample2,Sample,Field,Sediment,20MC,PFOA,5.75E+03,3.91,1.00E+05,3.87,0.9943,FALSE
